,ind cell,total index,TARPg3,Islet1,Pax6,DAPI,CD15,GLT-1,Cav3.1,DAPI,CABP5,SCGN,Kv2.2,DAPI,CAVIII,Rec,DAPI,Calb,PKC,Parv,DAPI
,21_s1m1_cell 29,cell 29,671.506,1585.933,671.252,2071.955,1185.785,1016.38,1028.672,677.815,2428.995,431.117,2319.538,1663.878,2103.568,3653.7,587.883,792.849,1307.527,1260.094,2682.272
,21_s1m1_cell 30,cell 30,431.522,2008.22,1928.281,3396.525,1128.859,719.224,1015.233,1063.207,2292.38,434.841,2426.245,2453.638,1786.261,1305.398,733.494,709.931,619.413,287.13,3957.246
,21_s1m1_cell 31,cell 31,437.094,2371.85,2536.764,3340.137,1108.935,697.17,947.975,1161.11,2178.885,397.221,2401.661,2866.318,1686.419,1201.497,913.229,650.662,591.31,269.124,4100.341
,21_s1m1_cell 32,cell 32,326.299,2840.613,471.371,2346.834,1075.805,723.703,920.325,787.192,2721.392,364.382,2324.518,1755.698,2880.575,1723.164,619.143,622.392,922.235,242.176,3238.61
,21_s1m1_cell 33,cell 33,419.964,2519.014,1190.956,3248.371,1105.292,756.467,976.912,897.147,2489.587,359.881,2366.113,2003.676,2117.361,1591.596,641.153,630.291,839.415,242.528,3365.621
,21_s1m1_cell 34,cell 34,608.999,1435.841,444.032,2937.1,1143.509,955.42,954.187,844.207,2320.109,375.492,2285.14,1781.159,2094.548,3647.678,602.58,668.167,803.04,294.419,3124.989
,21_s1m1_cell 35,cell 35,586.433,1720.388,850.436,1855.84,1224.345,995.264,989.805,661.336,2414.048,379.238,2308.398,1536.571,2616.621,3336.988,584.512,1105.56,1532.798,1246.06,2411.707
,21_s1m1_cell 36,cell 36,477.682,2160.959,2090.094,3153.967,1083.599,720.451,925.957,1203.203,2148.026,382.997,2383.083,2984.791,1757.573,1363.127,890.88,680.292,599.965,257.835,3879.456
,21_s1m1_cell 37,cell 37,520.088,1822.671,435.639,2994.959,1083.127,787.392,1003.911,830.754,2432.344,363.613,2306.329,1753.198,1941.848,1881.275,582.317,629.627,706.975,254.438,3170.255
,21_s1m1_cell 38,cell 38,361.521,1870.401,1161.784,3103.572,1071.568,736.211,1029.702,944.995,2645.679,349.461,2337.208,2096.805,1734.449,1432.745,661.499,628.733,597.958,245.061,3529.698
,21_s1m1_cell 39,cell 39,696.034,1794.145,1010.108,2307.986,1202.348,989.255,978.406,763.306,2345.313,357.441,2318.376,1822.802,2140.912,2922.243,630.642,802.778,1320.219,1320.365,2834.122
,21_s1m1_cell 40,cell 40,664.485,2698.412,504.563,2808.876,1168.306,942.175,939.34,804.326,2491.013,355.554,2318.434,1747.026,2432.791,2483.974,597.512,663.718,850.982,352.565,3005.279
,21_s1m1_cell 41,cell 41,462.512,1839.67,471.161,3192.109,1088.068,748.587,1061.775,843.293,2891.03,364.968,2304.786,1868.606,1874.878,1679.056,597.231,631.379,711.561,250.383,3375.225
,21_s1m1_cell 42,cell 42,268.568,2049.314,2019.952,2370.344,1048.759,723.885,959.103,1019.763,2147.848,347.397,2353.88,2410.517,1684.425,1354.868,743.521,632.728,572.82,261.695,3536.755
,21_s1m1_cell 43,cell 43,403.612,3169.106,557.713,3342.712,1091.094,709.592,921.762,937.083,2516.59,554.211,2339.831,2020.228,2007.007,1627.99,644.734,641.912,704.128,256.287,3631.366
,21_s1m1_cell 44,cell 44,916.046,1276.205,427.337,288.207,1327.351,1015.182,985.72,202.297,2813.793,461.812,2538.322,349.14,2571.76,13640.134,323.069,1193.125,1143.247,926.324,335.883
,21_s1m1_cell 45,cell 45,716.075,2699.68,440.405,3069.221,1160.51,909.209,958.333,781.894,2456.789,383.694,2325.461,1702.518,1893.891,3043.141,588.083,696.967,659.101,302.462,2731.444
,21_s1m1_cell 46,cell 46,492.376,1841.612,452.366,3331.516,1098.691,783.66,1130.977,830.059,2782.723,411.935,2323.013,1899.331,2400.098,1788.687,622.621,653.617,827.622,278.726,3366.493
,21_s1m1_cell 47,cell 47,686.245,1410.968,483.2,2128.966,1210.09,1049.714,1021.518,667.584,3779.478,383.687,2323.669,1712.827,2237.407,3311.584,620.989,1228.373,935.906,637.93,2418.991
,21_s1m1_cell 48,cell 48,432.493,2119.241,2067.979,2364.824,1094.122,741.788,958.205,1039.991,2227.618,419.791,2397.274,2491.932,1810.168,1307.175,749.094,661.737,778.948,416.762,3281.272
,21_s1m1_cell 49,cell 49,446.072,2889.238,689.625,3683.812,1126.768,750.444,922.79,970.637,2845.487,467.711,2334.747,2186.053,2501.568,1783.329,668.869,653.604,948.675,269.878,3610.059
,21_s1m1_cell 50,cell 50,506.112,2174.591,444.114,2966.687,1128.021,852.943,942.988,779.177,2412.017,422.67,2325.752,1711.735,2094.952,3532.515,575.616,627.953,734.079,329.895,2604.809
,21_s1m1_cell 51,cell 51,915.199,1280.583,435.602,283.389,1330.622,1013.317,1008.901,201.238,2893.889,485.45,2502.964,352.47,2664.726,14523.552,336.641,1228.701,1132.103,908.293,341.183
,21_s1m1_cell 52,cell 52,375.472,3118.166,532.512,3078.978,1081.468,740.986,975.166,801.512,4564.714,432.55,2341.968,1929.498,3200.724,1728.546,642.664,644.516,987.768,258.672,3189.724
,21_s1m1_cell 53,cell 53,656.011,1980.491,485.794,3104.406,1273.724,1000.979,1020.98,838.39,2925.731,406.827,2337.777,1864.349,2166.772,3533.701,633.692,663.847,755.083,320.237,2715.45
,21_s1m1_cell 54,cell 54,704.115,1686.728,935.601,2262.721,1250.442,1005.538,1044.227,700.016,2742.52,445.951,2330.143,1772.21,2359.792,3426.593,690.628,748.726,1166.045,1120.676,2525.351
,21_s1m1_cell 55,cell 55,764.555,1186.922,436.834,260.984,1316.875,971.52,974.169,195.407,2879.802,514.929,2536.513,334.514,2557.448,17169.209,327.166,1115.717,981.677,730.157,321.058
,21_s1m1_cell 56,cell 56,534.442,2310.096,2201.49,3769.481,1138.988,769.052,946.009,1019.971,2603.748,415.764,2405.482,2350.703,2074.033,1444.576,732.031,686.873,797.557,374.599,3752.865
,21_s1m1_cell 57,cell 57,619.655,1913.664,565.723,2812.378,1416.825,1042.57,1100.596,813.242,2737.616,911.415,2394.441,1802.908,3516.592,3249.074,631.063,733.251,848.199,434.537,2423.76
,21_s1m1_cell 58,cell 58,469.494,2081.72,1000.789,3780.231,1121.989,705.001,884.693,839.588,2859.274,1479.229,2538.574,1907.825,2618.238,1559.357,666.349,669.791,787.012,257.03,3360.143
,21_s1m1_cell 59,cell 59,644.485,1960.362,522.257,1652.351,1253.971,1019.228,1057.743,597.013,2448.45,720.559,2328.105,1639.53,3072.975,3868.727,643.579,715.264,990.4,699.318,2099.152
,21_s1m1_cell 60,cell 60,539.474,2215.344,2267.044,4187.432,1159.465,759.42,946.327,1096.713,2314.532,565.719,2436.749,2410.26,2053.1,1337.143,750.329,716.956,695.477,273.095,3879.71
,21_s1m1_cell 61,cell 61,406.886,1688.122,542.537,2631.199,1172.399,819.527,908.081,759.423,2566.638,606.387,2332.88,1685.108,2770.656,3167.59,592.619,628.065,885.874,272.808,2487.688
,21_s1m1_cell 62,cell 62,564.462,2767.358,3106.404,2984.818,1122.132,718.848,929.894,1218.528,2418.771,512.305,2467.498,2749.207,1971.545,1241.414,794.062,668.448,686.002,294.473,3836.152
,21_s1m1_cell 63,cell 63,459.951,1216.135,440.205,2088.837,1324.261,1075.755,1035.098,729.106,2440.2,604.033,2309.529,1554.815,2678.842,3993.362,616.792,640.938,776.946,310.08,2258.895
,21_s1m1_cell 64,cell 64,479.516,2283.436,2314.249,3613.607,1107.265,718.359,966.882,976.743,2429.837,369.063,2380.605,2265.945,1978.955,1289.918,717.224,694.859,692.828,268.042,3450.738
,21_s1m1_cell 65,cell 65,392.187,1522.279,401.085,1752.617,1184.208,991.139,1195.601,620.911,2784.831,372.484,2241.649,1462.968,2193.895,2935.008,618.384,603.093,714.169,285.023,2129.505
,21_s1m1_cell 66,cell 66,533.337,2822.438,3188.297,2587.619,1117.533,719.308,935.982,1152.834,2301.095,463.191,2448.428,2737.128,1906.124,1205.089,764.326,677.256,638.975,301.736,3444.851
,21_s1m1_cell 67,cell 67,580.798,2501.022,2662.782,4183.174,1120.958,763.668,1094.666,956.488,2459.479,356.209,2390.253,2122.002,2016.655,1405.167,667.275,688.02,674.369,285.903,2965.925
,21_s1m1_cell 68,cell 68,499.587,1387.115,733.032,2835.506,1142.067,1032.287,1274.04,794.06,2745.719,349.516,2298.912,1723.439,2159.844,2084.946,607.368,627.69,661.089,274.637,2555.958
,21_s1m1_cell 69,cell 69,578.324,2653.114,436.148,2677.879,1199.167,1131.916,1031.54,778.69,2402.401,416.778,2254.89,1659.821,2169.483,3177.02,618.33,622.855,675.291,291.484,2348.531
,21_s1m1_cell 70,cell 70,498.563,2191.573,2226.913,2665.522,1126.406,938.075,1002.541,1049.993,2300.393,377.711,2370.97,2473.207,1855.6,1201.888,743.281,632.036,641.142,294.98,3191.103
,21_s1m1_cell 71,cell 71,476.467,2895.213,3399.984,3542.685,1160.326,916.002,998.544,1039.048,2381.889,347.595,2388.546,2243.314,1861.861,1445.073,674.293,641.318,606.801,328.816,3072.568
,21_s1m1_cell 72,cell 72,637.271,3128.604,423.921,2273.552,1216.781,1271.946,1035.661,705.304,2297.925,497.767,2281.027,1603.954,2081.302,2956.256,610.125,588.96,613.848,280.65,2399.717
,21_s1m1_cell 73,cell 73,575.051,2588.575,2796.3,3907.589,1190.359,921.641,977.994,1187.938,2291.641,369.795,2379.967,2478.333,1873.585,1295.762,735.971,639.873,692.513,438.735,3576.992
,21_s1m1_cell 74,cell 74,637.908,1841.038,623.537,3386.365,1342.738,1499.771,1166.751,801.672,2493.93,369.672,2281.568,1592.425,2276.231,3505.753,596.381,643.46,736.945,287.456,2413.456
,21_s1m1_cell 75,cell 75,1020.367,2967.174,445.475,2565.885,1408.286,1577.542,1309.442,830.222,2517.423,602.06,2296.595,1775.941,2135.53,3082.091,642.201,647.198,738.194,370.809,2496.183
,21_s1m1_cell 76,cell 76,471.014,1872.754,1198.583,3042.243,1317.284,1446.766,1074.696,926.763,2518.651,365.934,2303.453,1851.633,2110.183,2246.197,641.749,649.605,683.105,273.679,2986.226
,21_s1m1_cell 77,cell 77,746.995,1792.994,489.405,3556.532,1452.927,1667.084,1384.716,859.487,2698.279,391.438,2269.901,1727.959,2413.506,3370.363,637.148,653.826,697.552,315.483,2526.133
,21_s1m1_cell 78,cell 78,644.786,1236.238,724.32,1871.245,1162.799,970.885,890.198,972.342,2091.964,391.13,2308.159,2234.993,1720.245,1265.369,648.305,618.676,630.148,349.792,2470.398
,21_s1m1_cell 79,cell 79,650.413,1347.256,795.082,1388.96,1439.44,1634.522,1432.375,554.952,2845.245,469.245,2306.6,1334.966,2437.593,3749.595,618.029,705.924,1471.394,1507.495,1907.042
,21_s1m1_cell 80,cell 80,853.346,1163.318,449.437,293.371,1587.594,1777.083,1496.024,208.142,3241.67,656.882,2308.57,314.97,2674.506,9002.604,354.141,1073.33,1751.238,1471.226,396.147
,21_s1m1_cell 81,cell 81,732.439,2499.113,453.988,3176.296,1444.807,1586.53,1480.342,854.798,4106.549,425.31,2296.865,1728.28,2176.238,3360.56,619.771,641.121,696.454,343.696,2409.759
,21_s1m1_cell 82,cell 82,447.102,1369.394,509.153,256.062,1143.148,1068.108,919.92,214.621,2160.438,594.579,2334.668,317.149,1786.63,1407.672,309.087,626.59,667.376,344.169,313.492
,21_s1m1_cell 83,cell 83,548.871,1535.179,912.806,3584.352,1435.777,1622.412,1231.944,1082.894,2707.638,379.888,2252.58,2085.477,2078.777,2306.641,700.761,647.045,669.374,297.364,2978.014
,21_s1m1_cell 84,cell 84,870.802,3041.93,592.729,3718.271,1475.295,1568.269,1359.978,922.955,2783.419,559.573,2298.177,1817.193,2365.16,2793.584,657.804,652.859,826.362,336.156,2584.734
,21_s1m1_cell 85,cell 85,251.112,1362.727,995.807,951.068,1066.973,961.346,885.911,532.511,1788.202,360.643,2208.973,1156.808,1538.895,1274.037,470.129,572.851,610.296,307.573,1196.211
,21_s1m1_cell 86,cell 86,691.664,2197.28,489.847,1910.622,1481.988,1625.919,1378.412,732.257,3131.918,442.798,2285.146,1587.622,2459.761,4216.883,606.359,908.984,1076.345,598.336,2198.339
,21_s1m1_cell 87,cell 87,764.451,1144.523,455.074,286.772,1688.637,1757.411,1505.379,203.804,3328.309,723.767,2339.051,308.57,2529.535,8133.186,341.854,1149.058,1726.093,1403.053,377.204
,21_s1m1_cell 88,cell 88,431.977,1775.292,1336.487,2379.093,1353.943,1473.945,1317.019,903.074,2894.142,372.327,2238.458,1840.102,2027.314,2048.491,688.074,627.9,776.686,346.357,2667.572
,21_s1m1_cell 89,cell 89,874.455,4208.05,512.79,3355.799,1474.352,1567.908,1402.834,885.744,3295.996,581.321,2301.876,1726.327,3458.52,2844.652,656.776,655.541,971.782,328.656,2529.239
,21_s1m1_cell 90,cell 90,543.258,1298.127,742.561,1382.095,1524.924,1516.399,1249.885,586.693,2948.762,491.748,2270.734,1361.515,2129.866,3617.333,567.644,890.651,1323.021,1384.067,1811.111
