,ind cell,total index,TARPg3,Islet1,Pax6,DAPI,CD15,GLT-1,Cav3.1,DAPI,CABP5,SCGN,Kv2.2,DAPI,CAVIII,Rec,DAPI,Calb,PKC,Parv,DAPI
,21_s2m1_cell 974,cell 3397,407.422,2450.585,1179.206,1644.191,1249.628,1245.283,1108.015,866.76,1788.702,395.883,2005.458,923.825,1594.769,2520.985,1104.563,1159.738,1610.702,963.628,1632.388
,21_s2m1_cell 975,cell 3398,676.177,2648.765,2209.69,4383.58,1367.787,1309.31,1206.323,1415.214,2166.886,2046.847,2363.652,1308.976,1783.875,1420.769,1448.259,830.503,1321.633,281.317,2850.74
,21_s2m1_cell 976,cell 3399,1172.78,4683.831,442.019,3060.477,1340.576,1301.161,1138.472,1268.434,2148.979,552.973,2056.421,1113.137,1960.657,1934.214,1258.593,925.378,1601.075,323.021,2433.858
,21_s2m1_cell 977,cell 3400,1265.705,1754.873,473.199,292.985,1630.469,1596.985,1364.207,385.676,2498.693,675.629,2176.023,230.313,1860.476,8958.331,468.537,1399.13,2411.201,999.868,366.703
,21_s2m1_cell 978,cell 3401,663.061,3280.747,3205.878,2762.287,1434.357,1380.889,1244.961,1346.337,2109.288,497.547,2169.978,1637.954,1575.985,1302.42,1529.408,907.559,1050.679,350.318,3216.324
,21_s2m1_cell 979,cell 3402,806.976,2122.222,541.976,1817.669,1611.522,1500.125,1166.786,951.131,2008.9,561.695,2075.042,1435.617,1533.9,1322.402,1243.929,891.427,1058.427,402.554,2028.455
,21_s2m1_cell 980,cell 3403,509.22,3079.763,3138.516,3657.589,1337.679,1310.275,1233.23,1426.233,2040.359,674.551,2179.376,1367.226,1572.829,1323.219,1418.042,817.871,1003.666,305.216,3170.028
,21_s2m1_cell 981,cell 3404,692.555,3990.46,460.59,2317.84,1310.691,1323.093,1188.078,1104.315,1921.184,463.434,2012.261,1112.097,1581.045,2485.726,1219.4,803.592,1019.916,388.896,2192.624
,21_s2m1_cell 982,cell 3405,900.936,5920.976,529.853,3271.949,1390.489,1382.773,1250.89,1212.783,2698.789,610.869,2095.492,1106.746,2294.906,1652.38,1280.559,836.644,2250.62,330.088,2365.992
,21_s2m1_cell 983,cell 3406,772.392,1601.089,438.563,2789.871,1393.984,1481.671,1256.142,1201.824,2300.295,421.237,2032.439,1078.613,2011.368,2100.01,1200.221,836.324,2025.037,349.108,2345.213
,21_s2m1_cell 984,cell 3407,644.803,3457.827,3991.025,4184.411,1387.441,1337.266,1390.594,1363.984,2263.501,1068.422,2261.227,1269.052,1605.679,1331.616,1346.227,875.088,1169.107,278.178,2711.438
,21_s2m1_cell 985,cell 3408,713.559,1550.992,987.306,1397.41,1380.767,1264.124,1178.045,793.222,2384.449,607.419,2079.93,818.157,1910.638,2625.155,1020.258,989.944,2544.025,994.503,1557.677
,21_s2m1_cell 986,cell 3409,1223.479,1893.744,467.48,294.349,1625.228,1556.628,1356.373,385.171,2504.135,705.776,2214.67,236.227,1797.703,9140.249,460.061,1316.829,2398.961,889.264,364.68
,21_s2m1_cell 987,cell 3410,713.387,1988.024,1563.874,4464.834,1394.703,1337.579,1188.971,1387.046,2138.124,3168.757,2558.511,1329.124,1657.572,1362.202,1284.779,866.934,1234.158,295.416,3021.686
,21_s2m1_cell 988,cell 3411,935.943,2816.907,482.332,2053.456,1567.588,1330.044,1199.379,1020.552,2599.575,1105.415,2200.054,978.652,2070.425,2136.508,1068.539,894.58,2525.616,501.513,2079.595
,21_s2m1_cell 989,cell 3412,745.258,4683.866,5538.572,3738.756,1421.993,1328.314,1337.98,1564.074,2072.722,617.916,2262.438,1622.281,1532.398,1263.02,1492.157,912.395,1047.358,317.709,3289.465
,21_s2m1_cell 990,cell 3413,948.36,1998.807,594.564,4372.36,1605.087,1479.341,1366.089,1343.355,2477.648,2674.31,2468.634,1300.802,1669.302,1526.123,1220.087,914.193,1027.291,307.874,2928.601
,21_s2m1_cell 991,cell 3414,746.96,3405.605,3387.021,3264.456,1526.751,1353.918,1235.973,1554.751,2113.881,455.178,2167.969,1910.102,1508.931,1249.569,1609.033,956.931,991.669,322.973,3696.178
,21_s2m1_cell 992,cell 3415,839.906,4069.22,476.162,3423.988,2210.796,1388.695,1338.208,1276.926,2349.086,1847.405,2335.9,1175.537,2063.471,1731.651,1165.695,991.212,1685.543,329.725,2587.427
,21_s2m1_cell 993,cell 3416,805.837,3759.693,654.33,255.977,1854.707,1593.274,1264.698,312.069,2184.043,578.268,2104.798,223.718,1588.448,1225.607,427.851,957.81,1217.901,428.702,316.142
,21_s2m1_cell 994,cell 3417,857.963,2101.786,1581.986,2329.335,1419.463,1303.639,1185.861,1106.351,2249.212,385.307,2070.674,1124.456,1606.868,2636.312,1071.167,972.319,1826.337,1136.4,2069.091
,21_s2m1_cell 995,cell 3418,724.03,2834.876,450.577,2699.573,1708.214,1320.657,1212.267,1218.812,2644.386,629.589,2093.237,1138.57,1811.212,1946.664,1115.807,907.002,1405.467,338.021,2543.437
,21_s2m1_cell 996,cell 3419,704.67,4574.879,5041.899,3744.711,1529.199,1357.942,1325.142,1554.82,2119.507,425.381,2215.114,1987.838,1486.817,1258.108,1577.714,890.732,1023.596,318.636,3945.153
,21_s2m1_cell 997,cell 3420,1018.743,1781.48,442.509,289.713,1495.817,1361.954,1137.613,383.922,2407.567,513.463,2162.172,239.554,1702.048,10380.498,445.233,1227.141,1879.511,790.846,348.917
,21_s2m1_cell 998,cell 3421,683.705,2590.958,2597.614,3960.904,1399.45,1436.045,1381.262,1270.408,2107.594,383.072,2114.354,1216.141,1463.884,1304.339,1151.688,938.787,1366.616,321.451,2183.168
,21_s2m1_cell 999,cell 3422,703.061,3203.815,591.326,247.009,1781.625,1590.948,1209.89,299.487,2145.653,534.904,2081.354,219.337,1527.571,1253.042,426.525,932.248,1066.466,423.595,305.169
,21_s2m1_cell 1000,cell 3423,552.643,1386.643,441.203,2486.897,1365.986,1345.479,1324.379,1121.953,3274.08,435.689,2082.434,1057.119,1643.197,1921.49,1061.566,1592.846,1686.557,383.807,2206.871
,21_s2m1_cell 1001,cell 3424,828.31,1987.413,1488.344,2124.836,1349.557,1312.573,1254.265,879.454,2431.903,431.193,2109.638,912.42,1551.214,2453.661,977.36,1168.508,1834.508,1254.888,1741.892
,21_s2m1_cell 1002,cell 3425,609.047,3421.88,3938.1,4331.186,1412.847,1347.732,1357.472,1448.845,2093.199,379.891,2170.242,1492.04,1485.222,1269.053,1298.155,969.614,900.35,313.253,3192.191
,21_s2m1_cell 1003,cell 3426,704.785,1568.825,901.279,3678.284,1380.028,1546.801,1728.936,1259.756,2753.953,399.719,2084.56,1218.251,1489.582,1405.452,1147.558,902.868,1143.435,306.974,2721.012
,21_s2m1_cell 1004,cell 3427,650.444,6115.937,7383.492,3520.646,1523.815,1419.344,1484.616,1477.746,2235.844,493.188,2355.423,1879.013,1546.182,1290.622,1538.357,938.857,986.087,340.013,3581.807
,21_s2m1_cell 1005,cell 3428,663.952,1736.866,479.447,3290.986,1366.109,1591.186,1231.635,1216.773,2349.746,619.286,2079.898,1137.766,1615.066,2234.635,1108.884,854.651,1220.261,285.084,2538.268
,21_s2m1_cell 1006,cell 3429,588.963,3422.351,3803.958,3780.848,1407.095,1365.585,1357.7,1305.495,2232.554,504.788,2186.232,1330.112,1526.359,1342.74,1227.764,854.921,923.575,287.062,2824.946
,21_s2m1_cell 1007,cell 3430,712.66,3613.674,601.911,243.594,1828.723,1618.347,1243.48,302.476,2134.622,531.76,2091.019,213.002,1555.014,1321.685,436.741,939.699,1156.536,425.562,303.872
,21_s2m1_cell 1008,cell 3431,884.877,1270.778,511.52,1865.599,1551.889,1426.082,1226.626,931.494,2277.205,748.275,2135.123,970,1694.044,2365.12,1044.982,907.781,1569.19,518.912,1756.181
,21_s2m1_cell 1009,cell 3432,677.835,3158.282,447.265,2844.548,1355.509,1377.833,1156.442,1205.845,2480.543,541.541,2065.56,1176.678,1598.882,2170.332,1172.634,857.504,1324.408,310.862,2423.487
,21_s2m1_cell 1010,cell 3433,694.078,5326.868,479.059,3959.386,1356.783,1405.288,1137.85,1325.588,2325.295,420.952,2048.382,1222.668,1951.373,1791.241,1144.568,833.15,1962.863,287.946,2749.853
,21_s2m1_cell 1011,cell 3434,684.635,3637.605,3708.468,3802.695,1586.865,1343.902,1213.2,1480.488,2152.749,454.788,2169.912,1792.881,1531.323,1300.221,1491.274,932,1171.137,400.956,3715.163
,21_s2m1_cell 1012,cell 3435,585.081,3460.743,3885.665,4379.342,1474.322,1288.219,1201.945,1511.39,2081.893,382.941,2176.763,1560.743,1545.075,1303.467,1371.173,924.096,1313.009,292.257,3244.397
,21_s2m1_cell 1013,cell 3436,461.236,5799.392,742.872,3102.299,1323.096,1305.781,1194.972,1199.532,2337.225,362.97,2056.039,1186.204,1946.39,1452.941,1118.733,821.887,2429.056,292.083,2507.115
,21_s2m1_cell 1014,cell 3437,691.353,3109.193,549.796,241.128,1775.39,1608.819,1193.619,307.883,2123.726,666.664,2111.255,219.169,1561.423,1395.679,439.346,963.691,1336.249,428.328,305.367
,21_s2m1_cell 1015,cell 3438,981.334,5313.202,473.913,3346.726,1379.027,1436.238,1308.446,1264.705,2117.443,528.458,2074.172,1194.226,1737.53,1923.12,1146.307,843.494,1735.47,300.783,2577.06
,21_s2m1_cell 1016,cell 3439,936.953,1681.21,440.091,279.951,1452.175,1260.58,1060.005,378.459,2332.143,525.311,2158.225,226.042,1653.968,10808.945,457.768,1173.514,1537.057,652.721,367.007
,21_s2m1_cell 1017,cell 3440,902.024,2028.941,1369.288,3955.308,1470.967,1372.195,1127.961,1551.271,2082.126,415.141,2145.801,2039.206,1563.189,1272.338,1581.714,979.49,1300.334,443.108,4226.334
,21_s2m1_cell 1018,cell 3441,644.199,1296.276,451.666,1993.979,1307.227,1411.395,1492.007,987.182,2736.07,400.984,2035.427,1024.835,1497.975,2339.135,1106.61,843.88,1198.534,389.736,1900.889
,21_s2m1_cell 1019,cell 3442,494.374,1616.393,456.66,2815.469,1302.832,1428.45,1349.378,1143.824,2177.408,370.802,2051.673,1124.573,1712.316,1724.469,1086.694,812.96,1596.546,287.777,2388.616
,21_s2m1_cell 1020,cell 3443,1048.198,1788.378,454.514,290.013,1496.482,1530.478,1264.813,370.368,2383.671,602.323,2160.152,225.026,1713.355,10075.477,468.969,1358.299,1983.833,796.461,363.236
,21_s2m1_cell 1021,cell 3444,443.15,2399.964,2213.85,3035.559,1317.863,1314.85,1196.523,1164.644,2123.592,390.026,2148.271,1206.605,1602.225,1361.288,1129.418,893.892,1493.229,336.431,2518.366
,21_s2m1_cell 1022,cell 3445,516.957,2138.899,1105.028,1547.406,1314.856,1361.345,1155.218,810.995,2162.837,409.324,2048.4,868.234,1613.827,2747.936,1024.092,1239.844,1927.194,1086.846,1518.782
,21_s2m1_cell 1023,cell 3446,696.965,2953.635,559.771,257.205,1840.957,1605.439,1128.124,325.628,2115.284,816.425,2151.171,253.445,1542.894,1626.745,484.667,973.212,1226.218,450.886,421.022
,21_s2m1_cell 1024,cell 3447,394.564,4341.256,773.768,2527.136,1282.353,1293.036,1162.624,1062.23,2333.093,357.43,2063.748,1062.5,1821.343,1514.606,1077.495,828.206,1929.507,289.24,2204.018
,21_s2m1_cell 1025,cell 3448,343.987,1164.82,424.25,2300.331,1251.878,1375.291,1125.725,1053.776,1955.187,396.31,2007.623,1000.535,1551.801,2499.664,1084.398,785.66,1311.289,298.109,1997.233
,21_s2m1_cell 1026,cell 3449,521.189,2543.022,2085.776,2314.888,1432.219,1335.316,1117.882,1135.322,2052.452,487.914,2105.855,1445.461,1509.05,1303.958,1231.772,943.603,1065.921,545.072,2812.592
,21_s2m1_cell 1027,cell 3450,557.362,3171.47,3330.546,3626.695,1341.13,1327.006,1195.603,1364.632,2015.933,383.298,2128.622,1386.743,1518.937,1351.013,1259.235,916.07,1525.644,851.397,3133.413
,21_s2m1_cell 1028,cell 3451,535.907,2374.361,436.47,1448.741,1216.175,1301.793,1128.089,763.973,1999.032,612.05,2090.011,728.334,1495.795,2621.016,914.064,855.102,1101.97,423.02,1399.548
,21_s2m1_cell 1029,cell 3452,609.3,7106.036,761.113,3370.959,1356.577,1387.733,1244.873,1246.5,2582.084,387.675,2080.267,1201.757,1971.447,1498.212,1189.945,899.101,2170.086,324.036,2652.714
,21_s2m1_cell 1030,cell 3453,1115.322,1864.267,472.788,288.78,1470.299,1411.383,1188.533,363.339,2408.151,613.441,2231.322,230.388,1759.93,11291.951,457.165,1269.612,1846.467,759.371,356.157
,21_s2m1_cell 1031,cell 3454,694.276,3226.514,2380.739,1877.584,1495.018,1356.793,1098.842,936.245,2040.14,626.093,2165.271,1203.38,1508.47,1503.362,1092.984,920.114,1422.065,500.284,2132.475
,21_s2m1_cell 1032,cell 3455,1224.681,1812.11,477.241,285.876,1496.266,1701.043,1385.236,361.209,2452.819,624.572,2203.328,229.915,1820.264,10035.631,457.992,1411.58,1965.592,840.733,348.593
,21_s2m1_cell 1033,cell 3456,734.085,4343.381,497.954,3300.137,1366.175,1413.508,1341.089,1306.802,2379.847,488.885,2100.597,1197.931,1706.653,1771.577,1261.276,849.601,1372.006,336.871,2563.95
,21_s2m1_cell 1034,cell 3457,448.351,3135.522,3324.919,3519.657,1346.686,1277.925,1141.767,1403.871,1973.306,351.827,2109.262,1553.096,1407.079,1331.817,1423.917,795.721,1038.077,528.8,3305.293
,21_s2m1_cell 1035,cell 3458,723.131,2471.55,448.749,2410.778,1305.631,1351.095,1195.357,1076.005,1699.233,422.215,2016.498,547.794,1689.557,2171.667,867.036,740.536,1168.471,345.538,1102.986
,21_s2m1_cell 1036,cell 3459,586.779,3092.029,2697.851,2805.613,1417.059,1302.309,1121.585,1278.09,1801.125,412.998,2124.19,1788.237,1367.98,1324.301,1498.828,774.342,949.1,430.256,3391.006
,21_s2m1_cell 1037,cell 3460,572.621,2665.252,2595.968,4112.627,1356.947,1380.236,1207.24,1348.786,2095.318,360.293,2127.796,1323.473,1529.861,1478.815,1307.261,833.974,1051.953,319.291,2835.855
,21_s2m1_cell 1038,cell 3461,769.322,1840.647,1216.724,1829.214,1100.266,979.195,1052.064,447.797,1521.651,339.577,1992.712,340.998,1471.61,2488.432,573.376,689.846,1211.405,590.979,532.251
,21_s2m1_cell 1039,cell 3462,703.589,4771.612,725.976,3483.016,1454.864,1524.493,1305.88,1275.835,2551.361,420.611,2101.185,1166.86,2034.341,2020.931,1270.931,857.042,1718.257,311.17,2665.931
,21_s2m1_cell 1040,cell 3463,580.002,2352.79,548.973,255.11,1648.192,1466.139,1079.058,343.47,2037.499,984.879,2186.537,309.781,1527.031,1844.77,541.465,908.886,1228.664,435.197,689.445
,21_s2m1_cell 1041,cell 3464,458.249,3111.618,3096.293,3178.583,1365.037,1275.638,1143.153,1479.358,1885.382,384.504,2123.288,1860.122,1407.611,1316.808,1633.24,817.113,927.627,389.948,3739.328
,21_s2m1_cell 1042,cell 3465,529.667,2164.406,1864.826,3753.916,1342.817,1414.075,1316.342,1276.484,2190.916,776.246,2192.029,1284.667,1625.554,1461.899,1331.351,849.855,1184.846,301.4,2722.646
,21_s2m1_cell 1043,cell 3466,613.262,5551.083,456.471,2237.731,1666.871,1278.714,1228.506,951.458,2450.477,759.121,2149.335,782.079,2277.136,2299.765,1023.537,782.063,1742.15,374.021,1667.536
,21_s2m1_cell 1044,cell 3467,1109.653,2015.108,463.156,285.075,1541.619,1370.769,1162.761,355.82,2455.017,571.769,2182.552,229.743,1934.147,12366.458,460.58,1381.137,1900.107,714.67,352.815
,21_s2m1_cell 1045,cell 3468,565.571,3000.205,2764.805,2631.246,1419.492,1317.547,1147.691,1284.955,2006.911,535.278,2194.766,1663.065,1486.648,1350.24,1496.756,908.386,931.262,334.49,3228.049
,21_s2m1_cell 1046,cell 3469,759.124,1958.862,473.249,2922.389,1663.313,1532.159,1459.187,1143.855,2354.2,896.062,2195.472,1060.081,1870.818,1897.949,1195.903,879.772,1439.972,325.673,2451.431
,21_s2m1_cell 1047,cell 3470,459.192,2776.579,2779.253,3783.713,1347.479,1300.056,1153.009,1398.623,2025.314,930.109,2228.289,1425.932,1553.272,1375.2,1431.065,825.031,924.961,304.063,2973.788
,21_s2m1_cell 1048,cell 3471,732.164,3577.185,525.6,2750.274,3077.091,1323.949,1212.014,1235.832,2088.454,2171.734,2362.832,1176.765,2208.375,2562.647,1309.428,949.718,1137.842,446.039,2436.517
,21_s2m1_cell 1049,cell 3472,579.436,1909.747,1158.238,3922.18,1402.145,1352.165,1119.013,1306.541,2402.048,3346.619,2597.418,1265.406,1804.531,1509.83,1336.574,831.634,1163.704,278.326,2872.649
,21_s2m1_cell 1050,cell 3473,1258.422,4886.028,486.907,3449.034,1716.758,1409.335,1381.545,1238.301,2177.339,751.865,2171.079,1150.986,1826.218,1984.984,1263.537,865.178,1085.301,377.988,2528.119
,21_s2m1_cell 1051,cell 3474,830.252,5566.274,494.927,3069.658,1464.042,1401.424,1139.267,1155.26,2423.031,925.907,2208.678,1140.989,2029.565,1700.865,1243.033,859.523,1686.234,314.393,2559.377
,21_s2m1_cell 1052,cell 3475,620.671,3141.094,3191.004,3776.68,1407.369,1357.026,1232.286,1445.4,2113.832,427.056,2198.771,1500.311,1615.534,1457.42,1472.917,889.009,1180.578,317.05,3176.82
,21_s2m1_cell 1053,cell 3476,1122.123,1536.307,751.073,2574.402,1528.488,1411.966,1132.612,1296.378,2139.344,490.861,2214.903,1720.417,1603.486,1434.336,1521.189,969.176,1095.504,422.003,3478.722
,21_s2m1_cell 1054,cell 3477,834.342,1592.934,521.223,3287.299,1711.555,1369.648,1317.801,1278.183,2278.448,635.897,2108.226,1213.445,1781.269,2195.562,1298.432,835.92,1070.99,343.056,2615.914
,21_s2m1_cell 1055,cell 3478,1161.153,3629.498,488.603,3098.82,1417.875,1433.21,1290.088,1150.976,2338.092,448.047,2115.18,1118.359,1978.203,1946.227,1229.715,853.915,1757.529,361.454,2232.542
,21_s2m1_cell 1056,cell 3479,594.664,4926.616,1821.467,3399.159,1373.202,1367.108,1280.653,1197.101,2535.766,420.365,2148,1204.225,1944.526,1544.885,1314.547,858.104,1770.405,297.975,2595.612
,21_s2m1_cell 1057,cell 3480,1113.536,2538.808,2009.683,2702.365,1463.29,1400.906,1287.1,1106.7,2208.083,406.663,2127.465,1199.062,1679.552,2569.446,1276.004,916.779,1756.363,1225.579,2294.513
,21_s2m1_cell 1058,cell 3481,507.118,2709.303,2303.433,1988.303,1433.245,1390.143,1206.501,1101.157,2072.84,424.08,2167.686,1586.818,1573.521,1499.529,1459.096,898.455,1300.906,326.95,2892.749
,21_s2m1_cell 1059,cell 3482,521.032,2914.792,2842.559,3488.339,1399.716,1422.649,1356.732,1488.371,2192.69,366.364,2182.048,1548.319,1603.514,1486.885,1502.115,878.623,1202.617,297.192,3248.968
,21_s2m1_cell 1060,cell 3483,666.7,3271.307,473.842,3379.054,1384.674,1425.633,1138.424,1193.261,2157.168,401.357,2088.783,1145.879,1829.465,2182.589,1226.804,810.907,1116.773,313.031,2281.491
,21_s2m1_cell 1061,cell 3484,772.431,1462.085,547.684,2674.997,1364.936,1427.449,1127.218,1049.856,2131.934,382.16,2082.396,1101.324,1695.372,2733.045,1199.817,897.625,1215.537,546.237,2375.835
,21_s2m1_cell 1062,cell 3485,650.432,3353.837,3154.613,2554.196,1472.113,1432.667,1346.609,1238.693,2041.559,418.783,2226.7,1700.087,1557.276,1486.946,1580.045,860.281,926.406,308.849,3157.774
,21_s2m1_cell 1063,cell 3486,427.96,1097.706,426.638,256.441,1324.765,1183.893,1003.22,339.363,2216.143,448.23,2150.395,228.96,1624.105,11988.82,439.79,1246.317,1143.604,421.329,344.714
,21_s2m1_cell 1064,cell 3487,739.201,6556.347,523.688,3053.15,1553.064,1453.774,1379.392,1142.763,2707.686,471.644,2130.155,1040.754,2272.918,1670.022,1211.984,855.982,1977.827,312.385,2200.885
,21_s2m1_cell 1065,cell 3488,683.474,3256.649,3432.747,3723.242,1413.469,1440.187,1318.36,1374.491,2183.301,456.479,2214.476,1385.336,1739.593,1485.362,1431.772,896.412,1402.583,298.34,2978.725
,21_s2m1_cell 1066,cell 3489,806.559,5011.272,467.424,2751.863,1428.183,1342.351,1108.355,1133.216,2170.258,878.644,2160.526,1096.757,1983.971,2077.611,1180.988,833.403,1421.844,355.823,2261.749
,21_s2m1_cell 1067,cell 3490,747.792,2149.831,1268.665,1999.372,1369.744,1432.381,1279.115,862.835,2174.413,704.747,2165.119,957.426,1721.076,2570.567,1083.742,905.468,1852.723,1156.712,1654.874
,21_s2m1_cell 1068,cell 3491,850.026,5208.693,5657.644,3199.06,1462.805,1437.015,1540.549,1379.318,2118.629,542.18,2318.869,1693.888,1660.039,1499.148,1639.97,904.157,1152.914,321.979,3357.345
,21_s2m1_cell 1069,cell 3492,718.755,7239.1,749.28,3242.249,1410.854,1408.158,1263.945,1181.898,2596.316,666.704,2187.971,1176.02,2358.444,1589.34,1301.433,870.111,2671.276,326.109,2604.413
,21_s2m1_cell 1070,cell 3493,649.758,1611.626,481.357,2700.364,1787.977,1325.477,1064.177,1124.2,2027.223,3302.584,2580.105,1104.031,1978.794,2049.256,1172.305,835.176,1502.607,426.977,2268.477
,21_s2m1_cell 1071,cell 3494,751.623,2929.012,2017.333,3771.944,1578.022,1419.449,1544.165,1295.118,2671.153,462.43,2195.966,1330.701,1776.657,1453.019,1413.682,958.707,1831.975,306,2727.041
,21_s2m1_cell 1072,cell 3495,786.492,3519.628,3364.337,3591.261,1652.831,1385.613,1246.985,1476.052,2098.491,553.896,2241.089,1928.396,1665.4,1433.715,1722.321,916.001,1223.545,488.772,3511.385
,21_s2m1_cell 1073,cell 3496,882.438,4753.32,477.49,2975.166,1478.192,1337.935,1090.586,1127.134,2130.479,1345.271,2242.588,1115.848,1930.776,2026.617,1194.74,835.47,1449.494,368.461,2334.418
,21_s2m1_cell 1074,cell 3497,373.134,1090.004,420.507,250.368,1268.181,1181.487,992.391,326.727,2082.325,435.369,2143.478,227.166,1555.976,11571.484,428.074,1171.169,1102.071,383.029,341.704
,21_s2m1_cell 1075,cell 3498,646.014,3149.33,2998.322,3857.225,1520.324,1456.478,1356.674,1355.783,2281.322,387.674,2222.779,1471.845,1769.109,1467.247,1518.318,903.852,1574.511,307.12,2881.344
,21_s2m1_cell 1076,cell 3499,885.01,2452.491,1748.665,2352.762,1368.151,1348.498,1172.22,1032.953,2094.302,614.517,2164.385,1121.731,1751.561,2351.464,1227.906,872.755,1744.592,1083.78,2057.411
,21_s2m1_cell 1077,cell 3500,723.803,2030.282,476.651,3103.052,1360.137,1588.06,1276.78,1132.766,2280.975,470.431,2113.772,1133.662,1831.724,2198.585,1256.154,846.815,1479.674,343.612,2365.305
,21_s2m1_cell 1078,cell 3501,765.55,4503.726,4666.91,3335.139,1547.235,1453.054,1376.921,1364.751,2211.77,479.423,2309.868,1710.542,1724.893,1443.549,1607.221,949.788,1411.774,317.872,3175.856
,21_s2m1_cell 1079,cell 3502,924.85,6520.464,1421.739,4313.156,1418.702,1482.64,1407.123,1328.921,2649.682,356.992,2176.126,1370.88,2153.854,1475.236,1467.017,913.83,2262.793,297.685,2913.321
,21_s2m1_cell 1080,cell 3503,535.596,4138.846,1278.081,2467.452,1342.23,1331.412,1228.548,1062.543,2361.248,383.528,2127.131,1112.533,1918.187,2077.058,1244.651,1504.543,2994.406,1217.949,2169.975
,21_s2m1_cell 1081,cell 3504,507.938,1210.869,430.272,247.641,1328.567,1208.382,1011.627,320.25,2131.024,446.313,2167.224,226.931,1593.913,11486.565,417.183,1129.621,1157.734,451.353,341.047
,21_s2m1_cell 1082,cell 3505,706.7,4963.009,4927.821,2714.922,1543.473,1414.689,1363.7,1279.919,2164.908,524.666,2321.458,1732.755,1787.746,1388.291,1646.438,982.873,971.841,314.406,3082.582
,21_s2m1_cell 1083,cell 3506,841,5250.27,5123.833,4643.281,1443.286,1409.223,1411.441,1460.177,2321.107,364.871,2283.966,1476.854,1813.716,1385.767,1540.795,1009.747,1958.064,303.832,3173.126
,21_s2m1_cell 1084,cell 3507,1119,1323.199,539.83,1992.209,1353.553,1301.128,1154.555,868.447,2194.487,414.081,2135.818,985.818,1811.044,2165.742,1104.631,1260.958,1999.007,894.455,1705.162
,21_s2m1_cell 1085,cell 3508,970,4389.779,509.065,2580.551,1357.371,1352.255,1318.457,1099.603,2582.561,481.748,2141.904,1141.262,1692.436,1844.919,1283.751,1223.335,1440.764,526.629,2312.68
,21_s2m1_cell 1086,cell 3509,759.773,4236.374,4404.337,3150.531,1572.82,1429.723,1263.827,1386.442,2096.749,420.23,2270.901,1819.101,1649.946,1388.311,1715.757,905.771,1024.105,440.658,3485.661
,21_s2m1_cell 1087,cell 3510,795.608,1487.501,454.524,252.904,1408.655,1248,1046.359,316.638,2237.698,481.066,2178.744,226.242,1652.028,11654.533,404.411,1151.101,1257.246,506.096,323.821
,21_s2m1_cell 1088,cell 3511,887.498,3249.272,973.96,4250.58,1382.023,1547.683,1354.087,1354.948,2350.521,368.376,2187.69,1265.397,1807.779,1533.491,1384.462,1030.432,1385.293,292.458,2825.314
,21_s2m1_cell 1089,cell 3512,704.027,1411.833,523.43,2520.939,1323.402,1329.105,1109.696,1016.448,2139.808,352.635,2122.955,1045.431,1789.893,2035.347,1145.936,990.841,1589.591,622.094,2161.183
,21_s2m1_cell 1090,cell 3513,583.113,3027.766,2570.31,2323.118,1549.62,1377.6,1188.448,1120.637,2134.808,490.625,2253.144,1613.451,1581.166,1362.862,1468.572,885.321,1316,539.414,2828.865
,21_s2m1_cell 1091,cell 3514,664.785,2885.62,1055.127,3940.202,1345.869,1483.889,1134.608,1328.432,2158.931,366.777,2163.898,1246.63,1722.731,1901.837,1357.273,861.303,1279.138,287.76,2801.069
,21_s2m1_cell 1092,cell 3515,561.902,4343.602,5071.293,4282.21,1377.797,1312.977,1231.784,1576.045,1969.835,350.528,2257.183,1605.729,1506.201,1314.027,1603.048,877.508,955.949,327.522,3244.245
,21_s2m1_cell 1093,cell 3516,891.702,1692.855,445.931,253.099,1450.51,1334.641,1106.476,308.008,2255.355,482.3,2211.476,231.464,1688.063,11552.904,399.823,1323.913,1324.409,594.806,324.177
,21_s2m1_cell 1094,cell 3517,696.651,5658.607,486.158,3125.519,1320.741,1361.076,1165.832,1192.984,2378.044,413.826,2144.463,1205.174,2077.062,1789.946,1273.677,844.116,2185.22,304.798,2543.711
21_s2m5,21_s2m5_cell 0,cell 3518,1692.07,2363.1,2496.281,2341.735,1345.033,1633.217,1225.85,1008.993,2772.065,639.154,2340.335,1574.026,1990.97,1950.098,1444.989,1321.752,1556.665,776.452,3354.457
,21_s2m5_cell 1,cell 3519,1738.012,1862.598,557.214,2909.674,1291.702,1721.75,1211.577,1362.264,3482.867,522.81,2270.896,1853.741,1981.642,3062.489,1674.913,1321.369,3046.696,2180.97,4351.924
,21_s2m5_cell 2,cell 3520,1947.414,1910.813,1422.175,3506.268,1499.009,1755.839,1341.074,1444.276,2819.653,720.416,2311.802,2086.155,2130.107,2134.723,1860.839,1271.064,2036.527,838.639,4874.422
,21_s2m5_cell 3,cell 3521,1871.648,3767.792,4326.609,2458.765,1316.798,1780.096,1251.071,1001.634,2517.672,655.391,2329.667,1647.574,1793.639,2054.738,1514.732,1264.579,1445.872,614.372,3621.62
,21_s2m5_cell 4,cell 3522,2028.683,1697.933,685.548,268.481,1493.183,1582.26,1111.628,214.064,2176.779,565.776,2195.869,215.747,1696.587,1664.218,239.407,1205.837,1831.474,800.93,370.724
