ROI number,Brn3a-_neg,CalR+,MEIS2+,CAVIII+,FOXP2+,Syt6+,Syt10+,Satb2+,RBPMS+,Pvalb_neg,CalB_neg,,RBPMS,Satb2+,Syt10+,Syt6+,FoxP2+,Ca8,MEIS2+,CalR,Brn3a,PValB,CalB,all,Cluster Assignment,,,,,,,,,,
721,1,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,/,PValB+,/,AC/////////PValB+/,9,,,,,,,,,,
722,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
723,1,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,/,PValB+,CalB+,GC//////MEIS+///PValB+CalB+,0,,,,,,,,,,
724,0,0,0,0,0,1,0,0,0,0,0,,AC/,/,/,Syt6+/,/,/,/,/,Brn3a+,PValB+,CalB+,AC///Syt6+/////Brn3a+PValB+CalB+,1,,,,,,,,,,
725,1,0,1,0,0,1,0,0,0,1,1,,AC/,/,/,Syt6+/,/,/,MEIS+/,/,/,/,/,AC///Syt6+///MEIS+/////,2,,,,,,,,,,
726,1,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,/,PValB+,/,AC/////////PValB+/,9,,,,,,,,,,
727,1,0,1,0,0,1,0,0,0,1,1,,AC/,/,/,Syt6+/,/,/,MEIS+/,/,/,/,/,AC///Syt6+///MEIS+/////,2,,,,,,,,,,
728,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
729,1,0,1,0,0,0,0,0,1,0,1,,GC/,/,/,/,/,/,MEIS+/,/,/,PValB+,/,GC//////MEIS+///PValB+/,4,,,,,,,,,,
730,1,0,1,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,MEIS+/,/,/,PValB+,CalB+,AC//////MEIS+///PValB+CalB+,3,,,,,,,,,,
731,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
732,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
733,1,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,/,PValB+,/,AC/////////PValB+/,9,,,,,,,,,,
734,1,0,1,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,MEIS+/,/,/,/,/,AC//////MEIS+/////,15,,,,,,,,,,
735,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
736,1,0,1,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,MEIS+/,/,/,/,/,AC//////MEIS+/////,15,,,,,,,,,,
737,0,1,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,CalR+/,Brn3a+,PValB+,CalB+,GC//////MEIS+/CalR+/Brn3a+PValB+CalB+,23,,,,,,,,,,
738,0,1,1,0,0,1,0,0,0,0,0,,AC/,/,/,Syt6+/,/,/,MEIS+/,CalR+/,Brn3a+,PValB+,CalB+,AC///Syt6+///MEIS+/CalR+/Brn3a+PValB+CalB+,11,,,,,,,,,,
739,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
740,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
741,0,0,0,0,0,1,0,0,0,0,0,,AC/,/,/,Syt6+/,/,/,/,/,Brn3a+,PValB+,CalB+,AC///Syt6+/////Brn3a+PValB+CalB+,1,,,,,,,,,,
742,0,0,1,0,0,0,1,1,1,0,1,,GC/,Satb2+/,Syt10+/,/,/,/,MEIS+/,/,Brn3a+,PValB+,/,GC/Satb2+/Syt10+////MEIS+//Brn3a+PValB+/,5,,,,,,,,,,
743,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
744,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
745,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
746,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
747,0,1,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,CalR+/,Brn3a+,PValB+,CalB+,GC//////MEIS+/CalR+/Brn3a+PValB+CalB+,23,,,,,,,,,,
748,1,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,/,PValB+,/,AC/////////PValB+/,9,,,,,,,,,,
749,1,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,/,PValB+,/,AC/////////PValB+/,9,,,,,,,,,,
750,1,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,/,PValB+,/,AC/////////PValB+/,9,,,,,,,,,,
751,1,0,1,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,MEIS+/,/,/,/,/,AC//////MEIS+/////,15,,,,,,,,,,
752,0,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,Brn3a+,PValB+,/,AC////////Brn3a+PValB+/,18,,,,,,,,,,
753,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
754,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
755,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
756,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
757,1,0,0,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,/,/,/,PValB+,CalB+,GC/////////PValB+CalB+,0,,,,,,,,,,
758,1,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,/,PValB+,CalB+,GC//////MEIS+///PValB+CalB+,0,,,,,,,,,,
759,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
760,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
761,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
762,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
763,1,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,/,PValB+,/,AC/////////PValB+/,9,,,,,,,,,,
764,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
765,0,1,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,CalR+/,Brn3a+,PValB+,CalB+,GC//////MEIS+/CalR+/Brn3a+PValB+CalB+,23,,,,,,,,,,
766,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
767,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
768,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
769,0,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,Brn3a+,PValB+,/,AC////////Brn3a+PValB+/,18,,,,,,,,,,
770,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
771,0,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,Brn3a+,/,/,AC////////Brn3a+//,25,,,,,,,,,,
772,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
773,1,0,1,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,MEIS+/,/,/,/,/,AC//////MEIS+/////,15,,,,,,,,,,
774,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
775,1,0,0,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,/,/,/,PValB+,CalB+,AC/////////PValB+CalB+,7,,,,,,,,,,
776,1,0,1,0,0,0,1,0,0,1,1,,AC/,/,Syt10+/,/,/,/,MEIS+/,/,/,/,/,AC//Syt10+////MEIS+/////,6,,,,,,,,,,
777,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
778,0,0,0,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,/,/,Brn3a+,PValB+,CalB+,AC////////Brn3a+PValB+CalB+,27,,,,,,,,,,
779,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
780,0,1,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,CalR+/,Brn3a+,PValB+,CalB+,GC//////MEIS+/CalR+/Brn3a+PValB+CalB+,23,,,,,,,,,,
781,1,0,1,0,0,0,1,0,0,1,1,,AC/,/,Syt10+/,/,/,/,MEIS+/,/,/,/,/,AC//Syt10+////MEIS+/////,6,,,,,,,,,,
782,0,0,1,0,0,0,0,0,1,0,1,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,/,GC//////MEIS+//Brn3a+PValB+/,28,,,,,,,,,,
783,0,0,1,1,0,0,0,0,1,0,0,,GC/,/,/,/,/,Ca8+/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC/////Ca8+/MEIS+//Brn3a+PValB+CalB+,26,,,,,,,,,,
784,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
785,0,0,1,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,AC//////MEIS+//Brn3a+PValB+CalB+,24,,,,,,,,,,
786,0,0,1,0,0,0,0,0,1,0,1,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,/,GC//////MEIS+//Brn3a+PValB+/,28,,,,,,,,,,
787,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
788,1,0,0,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,/,/,/,PValB+,CalB+,AC/////////PValB+CalB+,7,,,,,,,,,,
789,0,0,0,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,/,/,Brn3a+,PValB+,CalB+,AC////////Brn3a+PValB+CalB+,27,,,,,,,,,,
790,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
791,0,0,0,0,0,1,0,0,0,0,0,,AC/,/,/,Syt6+/,/,/,/,/,Brn3a+,PValB+,CalB+,AC///Syt6+/////Brn3a+PValB+CalB+,1,,,,,,,,,,
792,0,1,0,0,0,0,0,0,1,0,1,,GC/,/,/,/,/,/,/,CalR+/,Brn3a+,PValB+,/,GC///////CalR+/Brn3a+PValB+/,13,,,,,,,,,,
793,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
794,1,0,1,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,MEIS+/,/,/,/,/,AC//////MEIS+/////,15,,,,,,,,,,
795,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
796,0,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,Brn3a+,/,/,AC////////Brn3a+//,25,,,,,,,,,,
797,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
798,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
799,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
800,0,0,0,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,/,/,Brn3a+,PValB+,CalB+,GC////////Brn3a+PValB+CalB+,22,,,,,,,,,,
801,0,0,0,0,0,1,0,0,0,0,0,,AC/,/,/,Syt6+/,/,/,/,/,Brn3a+,PValB+,CalB+,AC///Syt6+/////Brn3a+PValB+CalB+,1,,,,,,,,,,
802,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
803,1,0,1,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,MEIS+/,/,/,/,/,AC//////MEIS+/////,15,,,,,,,,,,
804,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
805,0,0,1,1,0,0,0,0,1,0,0,,GC/,/,/,/,/,Ca8+/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC/////Ca8+/MEIS+//Brn3a+PValB+CalB+,26,,,,,,,,,,
806,0,1,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,CalR+/,Brn3a+,PValB+,CalB+,GC//////MEIS+/CalR+/Brn3a+PValB+CalB+,23,,,,,,,,,,
807,0,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,Brn3a+,PValB+,/,AC////////Brn3a+PValB+/,18,,,,,,,,,,
808,0,1,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,CalR+/,Brn3a+,PValB+,CalB+,GC//////MEIS+/CalR+/Brn3a+PValB+CalB+,23,,,,,,,,,,
809,0,0,0,0,0,1,0,0,0,0,0,,AC/,/,/,Syt6+/,/,/,/,/,Brn3a+,PValB+,CalB+,AC///Syt6+/////Brn3a+PValB+CalB+,1,,,,,,,,,,
810,1,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,/,PValB+,/,AC/////////PValB+/,9,,,,,,,,,,
811,0,0,1,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,MEIS+/,/,Brn3a+,/,/,AC//////MEIS+//Brn3a+//,10,,,,,,,,,,
812,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
813,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
814,1,0,1,0,0,0,1,0,0,1,1,,AC/,/,Syt10+/,/,/,/,MEIS+/,/,/,/,/,AC//Syt10+////MEIS+/////,6,,,,,,,,,,
815,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
816,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
817,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
818,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
819,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
820,1,0,1,0,0,0,1,0,0,1,1,,AC/,/,Syt10+/,/,/,/,MEIS+/,/,/,/,/,AC//Syt10+////MEIS+/////,6,,,,,,,,,,
821,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
822,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
823,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
824,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
825,0,0,1,1,0,0,0,0,1,0,0,,GC/,/,/,/,/,Ca8+/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC/////Ca8+/MEIS+//Brn3a+PValB+CalB+,26,,,,,,,,,,
826,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
827,1,0,1,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,MEIS+/,/,/,/,/,AC//////MEIS+/////,15,,,,,,,,,,
828,1,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,/,PValB+,/,AC/////////PValB+/,9,,,,,,,,,,
829,0,0,0,0,0,1,0,0,0,0,0,,AC/,/,/,Syt6+/,/,/,/,/,Brn3a+,PValB+,CalB+,AC///Syt6+/////Brn3a+PValB+CalB+,1,,,,,,,,,,
830,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
831,1,0,1,0,0,0,0,0,0,1,0,,AC/,/,/,/,/,/,MEIS+/,/,/,/,CalB+,AC//////MEIS+////CalB+,21,,,,,,,,,,
832,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
833,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
834,1,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,/,PValB+,/,AC/////////PValB+/,9,,,,,,,,,,
835,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
836,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
837,0,1,1,0,0,0,1,0,1,0,1,,GC/,/,Syt10+/,/,/,/,MEIS+/,CalR+/,Brn3a+,PValB+,/,GC//Syt10+////MEIS+/CalR+/Brn3a+PValB+/,13,,,,,,,,,,
838,0,1,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,CalR+/,Brn3a+,PValB+,CalB+,GC//////MEIS+/CalR+/Brn3a+PValB+CalB+,23,,,,,,,,,,
839,1,0,1,1,0,0,1,0,0,1,1,,AC/,/,Syt10+/,/,/,Ca8+/,MEIS+/,/,/,/,/,AC//Syt10+///Ca8+/MEIS+/////,6,,,,,,,,,,
840,0,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,Brn3a+,PValB+,/,AC////////Brn3a+PValB+/,18,,,,,,,,,,
841,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
842,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
843,1,0,0,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,/,/,/,PValB+,CalB+,GC/////////PValB+CalB+,0,,,,,,,,,,
844,1,0,1,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,MEIS+/,/,/,/,/,AC//////MEIS+/////,15,,,,,,,,,,
845,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
846,0,1,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,CalR+/,Brn3a+,PValB+,CalB+,GC//////MEIS+/CalR+/Brn3a+PValB+CalB+,23,,,,,,,,,,
847,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
848,0,0,0,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,/,/,Brn3a+,PValB+,CalB+,AC////////Brn3a+PValB+CalB+,27,,,,,,,,,,
849,0,0,1,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,AC//////MEIS+//Brn3a+PValB+CalB+,24,,,,,,,,,,
850,0,0,0,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,/,/,Brn3a+,PValB+,CalB+,GC////////Brn3a+PValB+CalB+,22,,,,,,,,,,
851,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
852,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
853,0,0,0,0,0,0,0,0,1,0,1,,GC/,/,/,/,/,/,/,/,Brn3a+,PValB+,/,GC////////Brn3a+PValB+/,4,,,,,,,,,,
854,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
855,0,0,1,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,AC//////MEIS+//Brn3a+PValB+CalB+,24,,,,,,,,,,
856,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
857,0,0,1,1,0,0,0,0,0,0,0,,AC/,/,/,/,/,Ca8+/,MEIS+/,/,Brn3a+,PValB+,CalB+,AC/////Ca8+/MEIS+//Brn3a+PValB+CalB+,8,,,,,,,,,,
858,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
859,0,1,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,CalR+/,Brn3a+,PValB+,CalB+,GC//////MEIS+/CalR+/Brn3a+PValB+CalB+,23,,,,,,,,,,
860,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
861,1,0,1,0,0,1,0,0,0,1,1,,AC/,/,/,Syt6+/,/,/,MEIS+/,/,/,/,/,AC///Syt6+///MEIS+/////,2,,,,,,,,,,
862,1,0,1,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,MEIS+/,/,/,/,/,AC//////MEIS+/////,15,,,,,,,,,,
863,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
864,0,0,1,0,0,0,0,1,1,1,1,,GC/,Satb2+/,/,/,/,/,MEIS+/,/,Brn3a+,/,/,GC/Satb2+/////MEIS+//Brn3a+//,5,,,,,,,,,,
865,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
866,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
867,1,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,/,PValB+,/,AC/////////PValB+/,9,,,,,,,,,,
868,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
869,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
