ROI number,Brn3a-_neg,CalR+,MEIS2+,CAVIII+,FOXP2+,Syt6+,Syt10+,Satb2+,RBPMS+,Pvalb_neg,CalB_neg,,RBPMS,Satb2+,Syt10+,Syt6+,FoxP2+,Ca8,MEIS2+,CalR,Brn3a,PValB,CalB,all,Cluster Assignment,,,,,,,,,,
23,0,0,0,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,/,/,Brn3a+,PValB+,CalB+,AC////////Brn3a+PValB+CalB+,27,,,,GC////FoxP2+////Brn3a+PValB+/,1,,,AC//////MEIS+/CalR+/Brn3a+PValB+CalB+,3,
24,2,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,/,PValB+,/,AC/////////PValB+/,9,,,,GC////FoxP2+////Brn3a+PValB+CalB+,10,,,AC/////Ca8+///Brn3a+PValB+CalB+,1,
25,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,GC////FoxP2+//MEIS+//Brn3a+PValB+CalB+,11,,,AC/////Ca8+/MEIS+//Brn3a+PValB+CalB+,2,
26,1,0,1,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,MEIS+/,/,/,/,/,AC//////MEIS+/////,15,,,,GC///Syt6+//////PValB+CalB+,3,Syt6 GCs (14 total),,AC////FoxP2+/////PValB+/,1,
27,0,0,1,1,0,0,0,0,1,0,0,,GC/,/,/,/,/,Ca8+/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC/////Ca8+/MEIS+//Brn3a+PValB+CalB+,26,,,,GC///Syt6+/////Brn3a+PValB+CalB+,2,,,AC////FoxP2+//MEIS+/////,1,
28,0,0,1,1,0,0,0,0,1,0,0,,GC/,/,/,/,/,Ca8+/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC/////Ca8+/MEIS+//Brn3a+PValB+CalB+,26,,,,GC///Syt6+///MEIS+///PValB+CalB+,1,,,AC////FoxP2+//MEIS+////CalB+,1,
29,0,1,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,CalR+/,Brn3a+,PValB+,CalB+,GC//////MEIS+/CalR+/Brn3a+PValB+CalB+,23,,,,GC///Syt6+///MEIS+//Brn3a+PValB+/,1,,,AC////FoxP2+//MEIS+///PValB+/,1,
30,1,0,1,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,MEIS+/,/,/,/,/,AC//////MEIS+/////,15,,,,GC///Syt6+///MEIS+//Brn3a+PValB+CalB+,5,,,AC////FoxP2+//MEIS+//Brn3a+PValB+/,1,
31,0,0,0,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,/,/,Brn3a+,PValB+,CalB+,AC////////Brn3a+PValB+CalB+,27,,,,GC///Syt6+///MEIS+/CalR+/Brn3a+PValB+CalB+,1,,,AC////FoxP2+/Ca8+///Brn3a+/CalB+,1,
32,1,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,/,PValB+,/,AC/////////PValB+/,9,,,,GC///Syt6+//Ca8+/MEIS+//Brn3a+PValB+CalB+,1,,,AC////FoxP2+/Ca8+///Brn3a+PValB+CalB+,1,
33,0,1,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,CalR+/,Brn3a+,PValB+,CalB+,GC//////MEIS+/CalR+/Brn3a+PValB+CalB+,23,,,,GC//Syt10+////MEIS+//Brn3a+//,1,,,AC///Syt6+////////,9,
34,0,1,0,0,0,0,0,0,1,0,1,,GC/,/,/,/,/,/,/,CalR+/,Brn3a+,PValB+,/,GC///////CalR+/Brn3a+PValB+/,13,,,,GC//Syt10+////MEIS+/CalR+/Brn3a+PValB+/,1,,,AC///Syt6+///////CalB+,1,
