wave_01,0
wave_02,0
wave_03,0
wave_04,3
wave_05,0
wave_06,0
wave_07,0
wave_08,1
wave_09,0
wave_10,2
wave_11,0
wave_12,0
wave_13,3
wave_14,3
wave_15,0
wave_16,0
wave_17,0
wave_18,0
wave_19,0
wave_20,0
wave_21,0
wave_22,0
wave_23,0
wave_24,0
wave_25,4
wave_26,0
wave_27,0
wave_28,0
wave_29,7
wave_30,3
wave_31,2
wave_32,11
wave_33,5
wave_34,6
wave_35,0
wave_36,0
wave_37,0
wave_38,0
wave_39,0
wave_40,0
wave_41,0
wave_42,4
wave_43,1
wave_44,7
wave_45,0
wave_46,0
wave_47,0
wave_48,0
wave_49,3
wave_50,3
wave_51,0
wave_52,6
wave_53,0
wave_54,0
wave_55,0
wave_56,0
wave_57,1
wave_58,3
wave_59,0
wave_60,0
wave_61,7
wave_62,0
wave_63,0
wave_64,0
wave_65,3
wave_66,3
wave_67,5
wave_68,7
wave_69,0
wave_70,0
wave_71,3
wave_72,0
wave_73,3
wave_74,0
wave_75,0
wave_76,11
wave_77,3
wave_78,2
wave_79,8
wave_80,8
wave_81,0
wave_82,0
wave_83,0
wave_84,9
wave_86,0
wave_87,0
wave_88,0
wave_89,3
wave_90,12
wave_91,3
wave_92,0
wave_93,10
wave_94,15
wave_95,6
wave_96,7
wave_97,1
wave_98,4
wave_99,3
wave_100,11
wave_101,7
wave_102,7
wave_103,3
wave_104,0
wave_105,0
wave_106,0
wave_107,0
wave_108,5
wave_109,0
wave_110,0
wave_111,0
wave_112,0
wave_113,1
wave_114,9
wave_115,0
wave_116,15
wave_117,1
wave_118,0
wave_119,0
wave_120,7
wave_121,12
wave_122,0
wave_124,0
wave_125,7
wave_126,3
wave_127,0
wave_128,1
wave_129,8
wave_130,0
wave_131,7
wave_132,5
wave_133,13
wave_134,0
wave_135,11
wave_136,0
wave_137,10
wave_138,0
wave_139,3
wave_140,10
wave_141,0
wave_142,0
wave_143,7
wave_144,0
wave_145,0
wave_146,0
wave_147,0
wave_148,0
wave_149,0
wave_150,0
wave_151,5
wave_152,3
wave_153,0
wave_154,13
wave_155,3
wave_156,11
wave_157,0
wave_158,3
wave_159,12
wave_160,0
wave_161,0
wave_162,0
wave_163,0
wave_164,0
wave_165,0
wave_166,3
wave_169,14
wave_170,13
wave_171,7
wave_172,0
wave_173,2
wave_174,6
wave_175,0
wave_176,14
wave_177,3
wave_178,14
wave_179,0
wave_180,0
wave_181,0
wave_182,0
wave_183,0
wave_184,3
wave_185,0
wave_186,0
wave_187,11
wave_188,0
wave_189,0
wave_191,7
wave_192,10
wave_193,0
wave_194,0
wave_196,3
wave_197,0
wave_198,0
wave_199,0
wave_200,0
wave_201,12
wave_202,0
wave_203,9
wave_204,11
wave_205,1
wave_206,7
wave_207,3
wave_208,1
wave_209,3
wave_210,1
wave_211,0
wave_212,0
wave_213,0
wave_214,15
wave_215,1
wave_216,0
wave_217,0
wave_218,0
