,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
mean,-0.45916457749999995,-0.2790355685,-0.2148245315,-0.17343617050000001,-0.116450822,-0.0795837565,-0.0477049095,-0.022435139000000003,0.0351792875,0.004620572,0.038420081499999995,0.0439970755,0.016249257500000003,0.04823002,0.0391072535,0.035307001000000005,0.05489545949999999,0.014664972500000002,0.061061588,0.035375123,0.040989534999999994,0.070579457,0.042853396499999995,0.032118595500000006,0.017750560500000002,0.0221306505,0.032252228,0.020343186000000003,0.03828416800000001,0.029375718500000002,0.039094123999999994,0.0171962445,-0.006194242499999999,0.00893251,-0.012575186499999998,0.048602846500000005,-0.012703095000000001,0.0163525755,-0.0034968675000000005,-0.035489323499999996,-0.023183287499999997,-0.07557341449999999,0.024601208500000003,0.0068731705,-0.0124773635,-0.005055516499999999,-0.0017396705000000002,0.0307785125,-0.0158836215,-0.009286868,-0.042224255,-0.040868497999999996,-0.011831429,-0.035117159999999994,-0.0309237745,-0.0316427625,-0.048366013,-0.062902929,-0.0703969255,-0.037666788,-0.033388976,-0.030645820999999997,-0.028192866999999996,-0.0387971955,-0.030794612500000002,-0.0674386515,-0.044478581,-0.06889256299999999,-0.0867417255,-0.089518902,-0.0975342015,-0.0948436965,-0.08090355099999999,-0.059398323999999995,-0.05290217999999999,-0.0885390635,-0.0657077305,-0.07772204900000002,-0.071614029,-0.0638345015,-0.06509079100000001,-0.057800279999999996,-0.08556893,-0.0550364475,-0.07294988999999999,-0.054853139499999995,-0.07154315,-0.07643755499999999,-0.057159864000000005,-0.058789625,-0.0795254815,-0.09669017900000001,-0.09495336650000001,-0.084400379,-0.11006924099999998,-0.1156964785,-0.1443538005,-0.158115342,-0.15307527450000002,-0.2055567405,-0.471402594,-0.305026392,-0.17066382649999998,-0.1254168395,-0.05576886250000001,0.008795444999999999,0.031527854,0.09449555250000001,0.09659261300000001,0.1364270955,0.13638192849999997,0.13935174849999998,0.166450041,0.131803528,0.17447371149999996,0.1327079435,0.11185525899999998,0.147626468,0.0942121125,0.114929583,0.0752912785,0.0824979725,0.096312977,0.06602018949999999,0.1017238755,0.055038484500000005,0.0690190405,0.061984443,0.0623857795,0.05591569800000001,0.02745049,0.045766878500000004,0.023963056499999996,0.0314717145,0.0161604825,-0.022319594999999998,-0.005317906499999999,-0.0439577515,-0.061119367,-0.061928216999999994,-0.047593923499999996,0.1110489995,0.026907408500000004,0.063992894,0.025294497000000003,-0.018075308999999998,-0.040960981,-0.061443484,-0.07916569849999999,-0.09570648500000001,-0.111031819,-0.1273032225,-0.133709925,-0.123650334,-0.1515819935,-0.1291059695,-0.1489215815,-0.15492097449999997,-0.15580065399999998,-0.18234824500000002,-0.18078232850000003,-0.19459725099999997,-0.21765162449999997,-0.2248135985,-0.26585907200000003,-0.2183289645,-0.235967945,-0.23254114649999996,-0.2295776185,-0.24808403,-0.2387539245,-0.2430528195,-0.2324745675,-0.256486547,-0.2429652695,-0.2503527715,-0.26966661049999996,-0.236419405,-0.28887089,-0.27618212750000004,-0.2597359455,-0.2569531115,-0.2621097075,-0.2677343215,-0.2862887745,-0.28611007,-0.245270289,-0.23189027899999998,-0.271223436,-0.234348699,-0.26163806349999996,-0.2583844635,-0.280716812,-0.2813680355,-0.2760248115,-0.288503838,-0.27034232849999995,-0.276777884,-0.25068857899999997,-0.2457962995
plus STD,-0.41380588719557415,-0.2444654453582294,-0.1826910049881031,-0.16083834830820587,-0.1144063429503519,-0.029036303907305244,0.037077950875629706,0.021519820600083815,0.06347879053463545,0.04034542667839916,0.07901726181812609,0.08669236184605938,0.06315668418927897,0.07163492211708757,0.08398321049019114,0.07973737818756035,0.08739810423695764,0.0955627520461259,0.07179078789152032,0.06411706062630353,0.0833034850229265,0.10810089464691243,0.10481589872134561,0.075329422086514,0.039939250974261986,0.03685180404703946,0.06120126306037744,0.06674880516962178,0.044919086692375376,0.0489481987366855,0.05020066294001915,0.03678565994409491,0.01852165043864983,0.023512901921429,0.00966806433349834,0.06312786559650106,-0.012554547421621896,0.022823069945439277,0.004484742421106174,-0.027953537333364132,-0.0013041429186973624,-0.05410048862235341,0.05839697900569324,0.024597982131658615,-0.0112892211679604,0.006179350299989242,0.03132848712785227,0.05809471567314455,-0.005113353553735128,0.02904615286923286,-0.003568342304419679,-0.021212209346287925,-0.003469283200637255,-0.007599836566402899,-0.0029076925911861937,-0.011794052413457535,-0.03939162162257401,-0.029068306512214474,-0.06134218628613456,-0.03557438549536376,-0.03226446550009259,-0.024339267140458483,-0.01512887688453405,-0.03609450681019118,-0.02977512503476833,-0.03641911232489288,-0.041144795972448286,-0.06520705598841826,-0.05236843260184047,-0.07737603443254164,-0.06049450226808111,-0.06018553997818522,-0.07012816430774613,-0.007861959239292074,-0.02597533032667341,-0.02747759068036778,0.0027673015436060766,-0.03764399324660237,-0.0459937118399803,-0.04128664603572925,-0.017387087828892964,-0.013860366218006272,-0.027320263609210776,-0.01829803798226333,-0.030293239261357865,-0.014554184295266455,-0.01620264692303068,-0.015120972902958073,-0.0393685072562707,-0.01326607487086088,-0.019106039010268153,-0.04882026048048013,-0.04225668405909216,-0.025812312667949727,-0.07216430681873817,-0.06519838478905918,-0.11156510278578115,-0.1263827513969969,-0.1436696802150183,-0.18988584355087765,-0.4032115820016592,-0.17620514403070814,-0.015331065702981067,0.05370956526655876,0.14363422943952112,0.2069054472332314,0.2082461337912295,0.25775398895041296,0.22831305534069918,0.2594449024485256,0.2237390252546749,0.22442992353751087,0.24214740301678261,0.14006717241052988,0.17511921160287564,0.16318105742466382,0.12464131513826632,0.1610035777260974,0.10151904497111841,0.12713219684782795,0.07570635230187685,0.09402800264101925,0.11105895777323369,0.11762801659333498,0.10680526433065256,0.06795765136850436,0.1113604877843265,0.0759177572633245,0.08505685680617389,0.07492093788392444,0.05225003154954386,0.07667467924733046,0.02902122818659907,0.047609628608038385,0.02768784543424062,-0.017062427201719067,0.005463728894879226,-0.03888090512330979,-0.04553963520685568,-0.03687178921370532,-0.03935835193578999,0.16484080932562983,0.10389209023173791,0.13896081031816485,0.060330092272369754,0.05076164362874114,-0.033893228104724726,-0.04972476029310077,-0.05401792170996417,-0.0825668273878793,-0.07036873845118766,-0.10029705170928026,-0.12394488641783095,-0.09398434074676051,-0.13640100841315494,-0.12201904340435285,-0.1444003386197729,-0.15441333193518444,-0.13947748427925175,-0.16419577730840013,-0.16694306438832082,-0.16059848640088403,-0.196208119921305,-0.2237789732927967,-0.2608240036132627,-0.20852637501221605,-0.222608778815582,-0.20532177452947112,-0.22163434083750197,-0.24211255283085936,-0.225849162810842,-0.22511347732778364,-0.2266995323728476,-0.25020479278948826,-0.19794787559722238,-0.22655627576881168,-0.24423146551408995,-0.22079725245683873,-0.2605640295193063,-0.2178308818355709,-0.25032272294706287,-0.23321337664435107,-0.26008449357460534,-0.241980105892788,-0.2860000932068331,-0.2643318868320219,-0.21457944911923427,-0.1728566491287749,-0.2631471197321556,-0.20940381165158323,-0.2459914500119571,-0.2399689853198174,-0.2516444391322073,-0.24664870717054477,-0.26364922872689217,-0.26874750080781784,-0.2560136559860716,-0.23661223610118962,-0.22032136209399342,-0.22344624018720344
minus STD,-0.5045232678044258,-0.3136056916417706,-0.2469580580118969,-0.18603399269179416,-0.11849530104964809,-0.13013120909269477,-0.1324877698756297,-0.06639009860008382,0.006879784465364559,-0.031104282678399157,-0.002177098818126097,0.0013017891539406148,-0.03065816918927896,0.024825117882912428,-0.005768703490191131,-0.009123376187560338,0.02239281476304235,-0.0662328070461259,0.05033238810847967,0.00663318537369648,-0.0013244150229265103,0.03305801935308757,-0.019109105721345616,-0.011092231086513991,-0.004438129974261983,0.007409496952960542,0.0033031929396225637,-0.026062433169621774,0.03164924930762464,0.009803238263314498,0.027987585059980835,-0.002393170944094917,-0.030910135438649827,-0.005647881921428998,-0.034818437333498334,0.03407782740349895,-0.012851642578378106,0.009882081054560727,-0.011478477421106175,-0.04302510966663586,-0.04506243208130263,-0.09704634037764658,-0.00919456200569323,-0.010851641131658613,-0.0136655058320396,-0.01629038329998924,-0.03480782812785227,0.003462309326855449,-0.026653889446264872,-0.047619888869232865,-0.08088016769558032,-0.06052478665371207,-0.02019357479936274,-0.0626344834335971,-0.05893985640881381,-0.051491472586542464,-0.05734040437742599,-0.09673755148778551,-0.07945166471386544,-0.03975919050463624,-0.03451348649990741,-0.03695237485954151,-0.04125685711546594,-0.041499884189808815,-0.03181409996523168,-0.09845819067510712,-0.04781236602755172,-0.07257807001158172,-0.12111501839815954,-0.10166176956745836,-0.13457390073191888,-0.1295018530218148,-0.09167893769225385,-0.11093468876070792,-0.07982902967332658,-0.14960053631963222,-0.1341827625436061,-0.11780010475339767,-0.09723434616001969,-0.08638235696427075,-0.11279449417110705,-0.10174019378199373,-0.14381759639078923,-0.09177485701773667,-0.11560654073864211,-0.09515209470473354,-0.1268836530769693,-0.1377541370970419,-0.07495122074372931,-0.10431317512913912,-0.13994492398973185,-0.1445600975195199,-0.14765004894090786,-0.14298844533205027,-0.1479741751812618,-0.16619457221094083,-0.17714249821421885,-0.1898479326030031,-0.16248086878498175,-0.22122763744912236,-0.5395936059983408,-0.4338476399692918,-0.32599658729701886,-0.30454324426655877,-0.2551719544395211,-0.18931455723323143,-0.1451904257912295,-0.06876288395041293,-0.03512782934069915,0.013409288551474455,0.04902483174532504,0.054273573462489094,0.09075267898321737,0.12353988358947011,0.1738282113971243,0.10223482957533618,0.09906920286173365,0.1342493582739026,0.08690518002888159,0.10272696915217207,0.07487620469812316,0.07096794235898075,0.0815669962267663,0.014412362406665005,0.09664248666934745,0.04211931763149565,0.0266775932156735,0.0480511287366755,0.03971470219382611,0.03691045811607557,0.002650948450456145,0.014859077752669553,0.018904884813400923,0.015333800391961607,0.00463311956575938,-0.02757676279828093,-0.01609954189487922,-0.04903459787669021,-0.07669909879314432,-0.08698464478629467,-0.055829495064210005,0.05725718967437017,-0.0500772732317379,-0.010975022318164857,-0.009741098272369752,-0.08691226162874113,-0.048028733895275275,-0.07316220770689923,-0.10431347529003582,-0.10884614261212072,-0.15169489954881235,-0.15430939329071977,-0.14347496358216905,-0.1533163272532395,-0.16676297858684508,-0.13619289559564715,-0.15344282438022713,-0.1554286170648155,-0.17212382372074822,-0.2005007126915999,-0.19462159261167924,-0.2285960155991159,-0.23909512907869496,-0.22584822370720328,-0.27089414038673737,-0.22813155398778395,-0.24932711118441803,-0.25976051847052883,-0.23752089616249802,-0.25405550716914066,-0.251658686189158,-0.26099216167221634,-0.23824960262715242,-0.26276830121051176,-0.2879826634027776,-0.2741492672311884,-0.29510175548591,-0.25204155754316127,-0.3171777504806937,-0.3345333731644292,-0.26914916805293715,-0.2806928463556489,-0.2641349214253947,-0.29348853710721196,-0.2865774557931669,-0.3078882531679781,-0.27596112888076574,-0.29092390887122505,-0.27929975226784437,-0.25929358634841676,-0.2772846769880428,-0.27679994168018257,-0.30978918486779267,-0.31608736382945524,-0.2884003942731079,-0.3082601751921822,-0.2846710010139283,-0.3169435318988103,-0.2810557959060065,-0.2681463588127966
