,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
mean,-0.3813957833333333,-0.21191400033333332,-0.16479542933333333,-0.09702207366666667,-0.06323825433333333,-0.062205752333333336,-0.059173639,-0.04485654966666667,-0.03659086633333333,-0.04349952466666666,-0.007542501666666669,-0.016763851333333333,-0.023909085333333333,-0.010497227666666671,0.02292880833333333,0.004621773666666669,0.027327377333333333,0.014082134333333335,0.01726461,0.021642747,0.021492228999999998,0.018706264666666667,0.029049979666666666,0.043545914666666664,0.012135259333333334,0.03157379566666667,0.03632745466666667,0.015911731333333335,0.019774982333333333,0.014415699999999998,0.018677304000000002,0.007314375333333334,-0.007031685333333333,0.020222725333333334,0.016078412333333333,0.017712279333333334,0.008854406666666667,-0.009913172666666666,-0.018323346,-0.012875504000000001,-0.013199019666666667,-0.02096049966666667,0.016302609,0.001589209333333332,0.006681850666666667,-0.009996510333333335,-0.0006674986666666665,-0.012870459666666667,-0.011227384666666666,-0.023959147333333333,-0.046984805666666664,-0.05160153433333334,-0.03323156933333333,-0.041460360333333335,-0.056756372,-0.053676113,-0.066517455,-0.08484304366666667,-0.07602843833333334,-0.06511728400000001,-0.05311011499999999,-0.049750972,-0.06334063033333333,-0.05284391933333334,-0.08789126333333332,-0.071601607,-0.060954663,-0.07250180266666666,-0.058594912666666665,-0.07251364166666667,-0.06831406766666666,-0.087568095,-0.07158063166666666,-0.06655169266666668,-0.07142377500000001,-0.09383944166666665,-0.08035531266666666,-0.071238478,-0.09431424366666667,-0.066985717,-0.07921895966666666,-0.09872068333333332,-0.092817574,-0.08966747633333333,-0.093212872,-0.08892174266666668,-0.07024446733333334,-0.08568136633333333,-0.08882659666666666,-0.09860739133333334,-0.08634075000000001,-0.094302365,-0.09849711666666668,-0.09102877899999999,-0.11442116333333334,-0.12443556600000001,-0.133222462,-0.143805638,-0.15454809066666667,-0.16067130166666668,-0.36288434366666666,-0.2024381786666667,-0.12072367933333333,-0.07354786533333334,-0.01753327466666667,-0.018696955333333327,0.025034134666666662,0.05153169733333333,0.05510886833333333,0.053817290999999996,0.099414725,0.09034149833333333,0.07730372333333334,0.08672672066666666,0.10200273866666666,0.08390729566666667,0.07433481733333333,0.10231784833333335,0.048050495666666665,0.06150730966666667,0.05626492366666667,0.08175975533333334,0.07123636533333333,0.03860613433333333,0.04850423733333334,0.031268781,0.030433601333333338,0.022965785000000002,0.024277421000000004,-0.010402222333333334,-0.012979917333333335,-0.0004827356666666667,-0.006109965666666667,0.011605289,0.01576860466666667,0.017021443333333334,-0.012969344,-0.025316027666666668,-0.022085536333333333,-0.03474462733333333,-0.03665407266666667,0.09692107866666667,0.06520263899999999,0.06152472566666667,0.021043824333333332,0.004546244000000002,-0.011455436333333333,-0.024199128,-0.014197113999999997,-0.051007496000000006,-0.038053431,-0.06929103333333334,-0.06446696266666667,-0.06904014866666668,-0.08416554400000002,-0.09009940733333334,-0.067540366,-0.06959623266666666,-0.064736802,-0.09843642500000001,-0.10038656266666666,-0.11923094366666666,-0.11760158866666666,-0.087729969,-0.12719858833333333,-0.11991256533333333,-0.11465011933333331,-0.12619999533333334,-0.10619353100000001,-0.12415979666666667,-0.13353564633333334,-0.12430843666666665,-0.10449000833333333,-0.13228713133333334,-0.16333096666666666,-0.13171955433333335,-0.15657423566666664,-0.13078609333333333,-0.13469227333333333,-0.1369172956666667,-0.12406617099999999,-0.13635242966666666,-0.13480229866666668,-0.13453217766666667,-0.13455926033333332,-0.13184043433333334,-0.12105273433333334,-0.11772349166666667,-0.13097779933333334,-0.14546129266666666,-0.14211504666666666,-0.14890050233333332,-0.14385016166666667,-0.14268532200000003,-0.1528488033333333,-0.15013691533333334,-0.13880300766666667,-0.15728942499999998,-0.15151647666666668,-0.13142323200000003
plus STD,-0.2812298614349746,-0.18159788880015848,-0.13514402288084792,-0.046746596893495126,-0.0029816322397231837,0.010660446956174838,0.002211933840518973,0.04938236413204853,0.06571475677110282,0.04485723157809509,0.08792255520849918,0.0663456902323077,0.05648069269908117,0.06169937674373061,0.08409282335990384,0.0723152211194357,0.07418021016230718,0.06626483000347465,0.06782957812978421,0.06724281496708649,0.06568325742765131,0.0377004158224436,0.044365360085907204,0.05319671420566448,0.016469931556768496,0.04851135689282733,0.05207825630194271,0.036523318530638255,0.03782733554607613,0.03283143994770463,0.02284700883333569,0.03333228424458616,-0.000652916699566913,0.043782440330501965,0.02533547393863711,0.024891255219493234,0.034388639145958314,0.021432639087460174,-0.0034308915655958446,6.294706960646712e-06,0.01016573818613079,0.0010260372717438328,0.03344369700989608,0.0338383041269026,0.031685454153573316,0.008078757013254305,0.00604340222592848,-0.004510621216803875,0.012121352100000697,-0.006127902277219911,-0.032195756639737096,-0.03951271147724663,-0.021421759310619064,-0.029422799620271518,-0.04172720510446371,-0.017078541485464394,-0.050923889214094076,-0.05021527455583808,-0.03884892950793087,-0.04194839591458305,0.0018921045717289128,-0.009169544566977245,-0.025163109966290176,-0.01871596048087007,-0.04631136919549942,-0.03934588522114254,-0.03386760886352701,-0.04615029459230427,-0.03856041063614728,-0.048094864312152694,-0.05573146107447328,-0.06806194242317129,-0.06385825638109187,-0.0575073244126687,-0.050398090802826014,-0.07698232683799908,-0.05760815699512596,-0.034009154876543594,-0.0825033868905431,-0.06453512749806317,-0.05281278066280387,-0.07281475204818157,-0.07435872265381185,-0.07242589212504777,-0.06540211857198451,-0.07076381081838626,-0.06584688895463305,-0.060780143237040965,-0.06708932692794892,-0.08672074772697151,-0.06987342694795101,-0.08390872858907567,-0.08080807236612197,-0.08182928981972763,-0.09756596937909384,-0.09711529529605799,-0.11252006589476012,-0.06947395035917349,-0.10767191041947222,-0.08859762348884812,-0.264659842646644,-0.1334496729454292,-0.015427763846477788,0.0316369273155941,0.1210138496300364,0.11183421053087017,0.16536653901827195,0.19149902565666155,0.19189818668210712,0.18961761251451997,0.21475228591203172,0.20341726366702112,0.1835287683320875,0.1854836702513604,0.18643201082639083,0.15579613669425268,0.14709405605677872,0.1612841115744328,0.13117395150848693,0.13723949989441295,0.12661504823276046,0.1526390304294395,0.12604321884673272,0.11520873478176859,0.08910267844998712,0.08411438159911801,0.11278744821372728,0.08322821423340829,0.07709958024614602,0.00540019093559981,0.02046087838982389,0.03621843888071308,0.0032275391122952865,0.017744562308959374,0.03225327399866118,0.03278176015984486,-0.0029945050771262582,-0.01958312484502698,0.010488820549665146,-0.004259469573654345,-0.011624933388486278,0.12288158472202643,0.07907942159460235,0.14353965727210974,0.05101850390474215,0.04533528705251396,0.0222660716753708,-0.010397202220536722,0.022011641040307436,-0.01508014632932874,-0.02264578894092272,-0.061688008137027434,-0.039393122402543,-0.052765441383351555,-0.07188743797342878,-0.06188041773538692,-0.032159126780858964,-0.023650014740456825,0.016036826433314236,-0.05888105792067176,-0.056275403252997916,-0.07117039410516628,-0.0938360880001163,-0.0520882592786202,-0.11701311987782662,-0.09180088608786215,-0.08289206572174435,-0.11095309247721642,-0.07557179377914425,-0.11744040443850999,-0.11615072425441415,-0.12302322799812043,-0.08614201590535461,-0.10908405729448847,-0.14115862029321305,-0.10993256372574471,-0.13961772126809505,-0.11329107132904967,-0.12307656076621218,-0.11554743178395713,-0.11113007254041013,-0.11223371617028578,-0.13181013555930501,-0.09038197266809439,-0.10349290429182847,-0.10883464818393988,-0.10167042256351667,-0.09673947944927377,-0.09763517035659708,-0.12652256202933326,-0.12241413343421736,-0.12503010193252898,-0.11544931055162942,-0.12119363107298717,-0.13244305922552108,-0.1447296098583909,-0.09425757073961413,-0.10523677262120557,-0.10439863225149865,-0.1023030536773215
minus STD,-0.481561705231692,-0.24223011186650817,-0.19444683578581873,-0.14729755043983822,-0.12349487642694347,-0.13507195162284152,-0.12055921184051897,-0.13909546346538187,-0.1388964894377695,-0.1318562809114284,-0.10300755854183252,-0.09987339289897436,-0.10429886336574783,-0.08269383207706396,-0.03823520669323717,-0.06307167378610237,-0.019525455495640512,-0.038100561336807975,-0.03330035812978421,-0.023957320967086488,-0.022698799427651312,-0.00028788648911027073,0.013734599247426132,0.03389511512766885,0.0078005871098981725,0.014636234440506001,0.020576653031390627,-0.004699855863971588,0.0017226291205905304,-0.004000039947704629,0.014507599166664314,-0.018703533577919495,-0.013410453967099754,-0.0033369896638352943,0.006821350728029557,0.010533303447173435,-0.016679825812624977,-0.0412589844207935,-0.033215800434404155,-0.02575730270696065,-0.03656377751946412,-0.04294703660507718,-0.0008384790098960766,-0.030659885460235934,-0.018321752820239984,-0.028071777679920973,-0.007378399559261812,-0.02123029811652946,-0.03457612143333403,-0.041790392389446755,-0.06177385469359623,-0.06369035718942004,-0.045041379356047594,-0.053497921046395155,-0.0717855388955363,-0.0902736845145356,-0.08211102078590593,-0.11947081277749527,-0.1132079471587358,-0.08828617208541698,-0.10811233457172889,-0.09033239943302275,-0.10151815070037648,-0.08697187818579662,-0.12947115747116722,-0.10385732877885745,-0.08804171713647299,-0.09885331074102904,-0.07862941469718605,-0.09693241902118065,-0.08089667425886005,-0.10707424757682871,-0.07930300695224145,-0.07559606092066465,-0.09244945919717401,-0.11069655649533422,-0.10310246833820737,-0.10846780112345639,-0.10612510044279025,-0.06943630650193683,-0.10562513867052944,-0.12462661461848508,-0.11127642534618815,-0.10690906054161889,-0.1210236254280155,-0.1070796745149471,-0.07464204571203363,-0.11058258942962569,-0.1105638664053844,-0.11049403493969516,-0.102808073052049,-0.10469600141092433,-0.11618616096721138,-0.10022826818027235,-0.13127635728757284,-0.15175583670394202,-0.1539248581052399,-0.21813732564082655,-0.20142427091386111,-0.23274497984448525,-0.46110884468668933,-0.2714266843879042,-0.22601959482018888,-0.1787326579822608,-0.15608039896336975,-0.1492281211975368,-0.11529826968493863,-0.0884356309899949,-0.08168045001544044,-0.08198303051452,-0.015922835912031738,-0.022734267000354483,-0.02892132166542083,-0.012030228918027075,0.017573466506942498,0.012018454639080647,0.0015755786098879399,0.04335158509223393,-0.035072960175153614,-0.014224880561079602,-0.014085200899427115,0.010880480237227166,0.016429511819933934,-0.03799646611510192,0.007905796216679556,-0.021576819599118002,-0.05192024554706061,-0.03729664423340828,-0.02854473824614601,-0.026204635602266477,-0.04642071305649056,-0.037183910214046406,-0.015447470445628622,0.005466015691040624,-0.0007160646653278438,0.001261126506821808,-0.022944182922873743,-0.031048930488306356,-0.054659893216331815,-0.06522978509301232,-0.06168321194484706,0.07096057261130692,0.051325856405397635,-0.0204902059387764,-0.008930855238075488,-0.03624279905251395,-0.045176944342037464,-0.03800105377946328,-0.05040586904030743,-0.08693484567067128,-0.053461073059077276,-0.07689405852963924,-0.08954080293079034,-0.0853148559499818,-0.09644365002657126,-0.11831839693127977,-0.10292160521914104,-0.11554245059287649,-0.14551043043331424,-0.13799179207932827,-0.1444977220803354,-0.16729149322816705,-0.14136708933321704,-0.1233716787213798,-0.13738405678884005,-0.1480242445788045,-0.14640817294492228,-0.14144689818945025,-0.13681526822085577,-0.13087918889482333,-0.15092056841225254,-0.12559364533521286,-0.12283800076131204,-0.1554902053721782,-0.18550331304012027,-0.153506544940922,-0.17353075006523824,-0.14828111533761698,-0.1463079859004545,-0.15828715954937625,-0.13700226945958985,-0.16047114316304756,-0.13779446177402835,-0.17868238266523895,-0.16562561637483816,-0.1548462204827268,-0.14043504610315002,-0.13870750388405956,-0.1643204283100696,-0.16440002330400005,-0.16181595989911596,-0.17277090273413767,-0.17225101278170393,-0.1641770129270129,-0.17325454744114555,-0.1555442208082758,-0.1833484445937192,-0.2093420773787944,-0.1986343210818347,-0.16054341032267855
