,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
mean,-0.22451088050000007,-0.1571736057,-0.1438156913,-0.1097346277,-0.11296365000000001,-0.10003857949999999,-0.08184640900000001,-0.08097591000000001,-0.060947901699999994,-0.0667974612,-0.0385039732,-0.0469175005,-0.0443055699,-0.025663239299999994,-0.0171396203,-0.0064005878,-0.0094330212,-0.0211555744,0.0006622907000000004,-0.0054059985,0.0153276991,0.025673649899999994,0.021334365899999996,0.0203035416,0.0011407474000000003,0.013863229799999998,0.0025444645,0.0057468629,0.004227740100000001,-0.0048657584000000005,-0.0022954717999999997,-0.0184152486,0.0179501833,-0.0110782641,-0.006651848099999999,-0.0031367112000000004,0.0008900234,0.007418250000000001,-0.0051331972,0.006796222800000001,-0.0125342682,0.013254394800000003,0.0902170581,0.04888824099999999,0.051603070699999996,0.039534646699999995,0.0382821116,0.030145727700000003,0.003219996700000001,0.021409644100000003,-0.0051239164,0.006673081,-0.0036023961999999987,0.0029150330999999996,-0.0070407848999999995,-0.027601348300000002,-0.015089192299999995,-0.0368679314,-0.019146281600000002,-0.026169500700000004,-0.0186713058,-0.0041651993,-0.0203925991,-0.025346296499999997,-0.0372955056,-0.046855216299999995,-0.0231669482,-0.027674893099999997,-0.04238641419999999,-0.04503973209999999,-0.053399215599999994,-0.053442647899999994,-0.048750239099999995,-0.0383208535,-0.06318511470000002,-0.056211230200000004,-0.067070954,-0.06299221459999998,-0.0667760495,-0.05025972630000001,-0.0362717536,-0.06141506230000001,-0.044384316699999996,-0.038000405099999995,-0.04628264580000001,-0.0418360377,-0.05760326349999999,-0.0594310806,-0.0593058804,-0.0713750012,-0.05891587079999999,-0.07486222819999998,-0.063167239,-0.0774843822,-0.08635240429999999,-0.0930849713,-0.07066663849999999,-0.0537598619,-0.0448300772,-0.0227904301,-0.2861376536,-0.212535441,-0.15636722640000003,-0.15058708,-0.0954661695,-0.07808607040000001,-0.05700877230000001,-0.030330122800000005,-0.0124277481,-0.0027344818999999985,-0.001837424,0.0278909092,0.025353907400000004,0.007631144600000003,0.036855141699999996,0.0275481976,0.0419418664,0.045368309100000004,0.027617290500000002,0.0349126479,0.029834098999999996,0.0683551365,0.033185083000000004,0.0216071517,0.0481252281,0.0341864111,0.0452217059,0.0195104363,0.0320449496,0.017412222600000003,0.009503375199999999,0.0203712424,-0.008852431700000002,0.0105978251,-0.0103786476,-0.0006769086000000004,0.016226230400000003,-0.0069160677,0.0036510919999999994,-0.0077561233999999995,0.07555157669999998,0.057410903,0.031960507,0.0512817312,0.014784236099999997,0.0310847978,0.0225161771,0.021655558800000002,0.020592839100000003,-0.0026935110000000004,0.0276512365,-0.00036473160000000115,0.004454140399999999,-0.0001690339000000013,-0.0076502048,0.0004417398999999992,0.003542392099999999,-0.0073115266999999986,-0.028935272,-0.0211262031,-0.028104593,-0.045375884899999996,-0.023364023999999997,-0.048879302099999994,-0.0527364835,-0.053707659899999996,-0.0642204391,-0.0504718683,-0.052021708300000004,-0.059846135499999994,-0.0667254996,-0.0572192263,-0.0476393449,-0.0765395312,-0.06327741709999998,-0.06719885090000001,-0.0675031918,-0.06640208360000001,-0.0638521275,-0.0608299999,-0.06691234339999999,-0.052343269299999995,-0.0655373557,-0.062108221100000006,-0.055329078300000015,-0.0746991272,-0.05694867669999999,-0.06428843920000002,-0.08021652240000002,-0.070448825,-0.0690834312,-0.06466963640000001,-0.0695986977,-0.0746692897,-0.07959836449999999,-0.07520497710000001,-0.08135561449999999,-0.0828058065,-0.0559249023,-0.06295856329999999
plus STD,-0.05734471743862679,-0.023714415423207125,-0.032964561153385016,-0.006571042886488396,-0.028667101898093267,-0.03345571858797626,-0.01972062918071349,-0.030517761629910614,-0.0074708749416547565,-0.01646223816984367,0.01650082624782414,0.007176886916669699,0.012929834814798369,0.02074952976195176,0.022302197139689617,0.030537579500176857,0.03406798521696074,0.015569902795528261,0.037236700997965035,0.021598387496303086,0.043600065170269924,0.053424059472354325,0.04383094859722616,0.0494592081694537,0.01665170136656345,0.042468467679210906,0.026297381141268394,0.02673733026840773,0.02336223571874466,0.0023948513978118155,0.013343891070221277,0.0031165567743654185,0.03962372112788805,0.004810312838314968,0.015969839780049424,0.008317732099392995,0.024513709905469132,0.02114374272351996,0.008942810074417516,0.0279291643136925,0.01675817916350964,0.055773144000553734,0.12263365655013544,0.09506848693442632,0.07478637911132892,0.06825462713442662,0.055189172917848375,0.054632333304311644,0.03368500762223249,0.04161930757929019,0.03153535812497939,0.032035739912238154,0.03819017067767942,0.028402734526695894,0.03328123737375826,0.00716084177284769,0.013246187965251312,0.0013487999898785588,-0.0003779611017095223,0.0026840445497038727,0.013955683849994672,0.0288237235007937,0.010962831300399475,0.009309641559271054,0.003624040799601526,-0.023097745909667785,0.010341770725110815,0.008554024198911107,-0.007770696408710219,-0.012114176929653678,-0.010057738364865579,-0.01590267061552597,-0.013667641117097437,-0.00022993752986782967,-0.025957679763732526,-0.017744341053810397,-0.024560360699500003,-0.016002842453456866,-0.036351661871665115,-0.01328327913336682,-0.0019285401651852122,-0.01949796180663111,0.0028945594534342325,0.012672018065172444,-0.00035570000765856175,0.007202310770411863,-0.013490909709544849,-0.019986722797573235,-0.00948847768345365,-0.025279640232783507,0.0004965687538888708,-0.02724620315777227,-0.012216752168833216,-0.025727137315478037,-0.04572112716654706,-0.035265378219305636,0.010374785419834859,0.026311240410975698,0.05014319288890891,0.08263193585332357,-0.1338155248533516,-0.07470105581427691,-0.04044258720018559,-0.05442775409044813,0.002432559457416064,-0.003899971907231889,0.02841834657592733,0.04564444032851637,0.06060912081726766,0.06679660384588108,0.053189735672955374,0.08579497000261402,0.07507384175926789,0.055666775949622944,0.08191167365983182,0.07372724842627991,0.0941859211574329,0.09517872656131025,0.0866103469596167,0.08556836597979728,0.08085685038106598,0.11748099394381198,0.08153513380467117,0.06488255435042964,0.08307833102492942,0.07348522602997301,0.0659127826660556,0.04451480930194958,0.051798757863789624,0.03824182091979426,0.021197993136185513,0.03142540541201571,0.009956703622178773,0.021491567725197197,0.005355440968249732,0.013458260955604547,0.029567425771074594,0.014672635555000101,0.018430400174487688,0.004382091411193762,0.13183396435355618,0.12060448298663246,0.07262809094794914,0.09930048813230025,0.05284887105532697,0.06827806461405389,0.059091469876806815,0.047031773714563116,0.06371248734630475,0.013004217221509852,0.05389522519803496,0.025835128502789104,0.022852578771382782,0.03489065198024594,0.022137426851305278,0.024212246007471964,0.06141252036304712,0.02926673588771723,0.01823936020480325,0.01751289274138817,0.005574844953405659,-0.01159351899271853,-0.0017147535990919734,-0.015500631979890787,-0.023020038105744735,-0.029458270433397007,-0.03020779025097957,-0.022811037015469677,-0.013404070295098519,-0.01870947817093599,-0.03885354228795747,-0.03294868352944261,-0.013880758601982825,-0.046291530999755956,-0.02384037698427706,-0.036559873514317054,-0.03264426663143433,-0.0283034039125553,-0.013593666021405153,-0.028469417230507166,-0.030389052238434563,-0.017956931529597014,-0.03801012900199579,-0.03346640634353808,-0.018352847437986153,-0.028053361004879145,-0.03201716263145209,-0.018408881871498785,-0.03964024039550292,-0.04178820422542713,-0.03711097607189774,-0.026229413520133533,-0.013925283221382409,-0.03476980503952696,-0.02904570155081109,-0.041693264443556165,-0.049373861891490234,-0.054367071070932214,-0.008133361398102973,-0.014507888566107477
minus STD,-0.39167704356137334,-0.29063279597679287,-0.25466682144661495,-0.2128982125135116,-0.19726019810190676,-0.1666214404120237,-0.14397218881928653,-0.13143405837008942,-0.11442492845834523,-0.11713268423015634,-0.09350877264782415,-0.10101188791666971,-0.10154097461479837,-0.07207600836195174,-0.05658143773968961,-0.04333875510017686,-0.05293402761696075,-0.057881051595528255,-0.03591211959796504,-0.03241038449630309,-0.012944666970269926,-0.0020767596723543363,-0.0011622167972261677,-0.0088521249694537,-0.014370206566563449,-0.014742008079210906,-0.021208452141268395,-0.01524360446840773,-0.014906755518744656,-0.012126368197811817,-0.017934834670221278,-0.03994705397436542,-0.003723354527888051,-0.026966841038314968,-0.029273535980049423,-0.014591154499392994,-0.022733663105469135,-0.006307242723519957,-0.019209204474417516,-0.014336718713692496,-0.04182671556350964,-0.029264354400553732,0.057800459649864556,0.0027079950655736693,0.028419762288671078,0.010814666265573362,0.02137505028215163,0.0056591220956883626,-0.02724501422223249,0.0011999806207098097,-0.04178319092497938,-0.018689577912238152,-0.045394963077679415,-0.022572668326695897,-0.04736280717375826,-0.06236353837284769,-0.0434245725652513,-0.07508466278987855,-0.03791460209829048,-0.05502304594970388,-0.051298295449994674,-0.0371541221007937,-0.05174802950039947,-0.06000223455927105,-0.07821505199960152,-0.0706126866903322,-0.05667566712511081,-0.0639038103989111,-0.07700213199128977,-0.07796528727034631,-0.09674069283513441,-0.09098262518447402,-0.08383283708290255,-0.07641176947013217,-0.1004125496362675,-0.09467811934618961,-0.1095815473005,-0.1099815867465431,-0.0972004371283349,-0.0872361734666332,-0.07061496703481479,-0.1033321627933689,-0.09166319285343422,-0.08867282826517243,-0.09220959159234146,-0.09087438617041187,-0.10171561729045513,-0.09887543840242677,-0.10912328311654634,-0.11747036216721649,-0.11832831035388885,-0.12247825324222769,-0.11411772583116678,-0.12924162708452194,-0.12698368143345293,-0.15090456438069436,-0.15170806241983484,-0.13383096421097568,-0.13980334728890892,-0.12821279605332356,-0.4384597823466484,-0.3503698261857231,-0.27229186559981444,-0.24674640590955188,-0.19336489845741606,-0.15227216889276812,-0.14243589117592736,-0.10630468592851638,-0.08546461701726765,-0.07226556764588109,-0.05686458367295537,-0.03001315160261401,-0.024366026959267883,-0.04040448674962294,-0.008201390259831819,-0.018630853226279904,-0.0103021883574329,-0.004442108361310246,-0.03137576595961669,-0.015743070179797272,-0.021188652381065987,0.019229279056188014,-0.015164967804671158,-0.021668250950429638,0.013172125175070583,-0.005112403829973015,0.02453062913394439,-0.005493936701949576,0.012291141336210367,-0.0034173757197942523,-0.0021912427361855166,0.009317079387984288,-0.027661567022178778,-0.00029591752519719794,-0.02611273616824973,-0.014812078155604546,0.0028850350289254117,-0.028504770955000102,-0.01112821617448769,-0.01989433821119376,0.019269189046443785,-0.005782676986632457,-0.008707076947949137,0.003262974267699746,-0.02328039885532698,-0.006108469014053895,-0.014059115676806816,-0.0037206561145631117,-0.022526809146304734,-0.018391239221509852,0.0014072478019650364,-0.026564591702789107,-0.013944297971382783,-0.03522871978024595,-0.03743783645130528,-0.023328766207471967,-0.05432773616304712,-0.04388978928771723,-0.07610990420480325,-0.05976529894138817,-0.061784030953405664,-0.07915825080728146,-0.045013294400908024,-0.0822579722201092,-0.08245292889425526,-0.07795704936660298,-0.09823308794902043,-0.07813269958453033,-0.09063934630490149,-0.100982792829064,-0.09459745691204254,-0.0814897690705574,-0.08139793119801716,-0.10678753140024404,-0.1027144572157229,-0.09783782828568297,-0.10236211696856568,-0.10450076328744472,-0.11411058897859483,-0.09319058256949284,-0.10343563456156542,-0.08672960707040298,-0.09306458239800419,-0.09075003585646194,-0.09230530916201388,-0.12134489339512086,-0.0818801907685479,-0.11016799652850126,-0.1207928044044971,-0.09910944577457288,-0.10105588632810227,-0.10310985927986649,-0.1252721121786176,-0.11456877436047305,-0.13015102744918888,-0.10871668975644386,-0.11333736710850975,-0.11124454192906777,-0.10371644320189703,-0.11140923803389251
